#,Geochemistry Reference,Province,Location,Sample Name,Rock Type,Latitude,Longitude,Age,Age reference,Sm (ppm),Nd (ppm),Rb (ppm),Sr (ppm),U (ppm),Pb (ppm),Th (ppm),143Nd/144Nd measured,87Sr/86Sr measured,206Pb/204Pb measured,207Pb/204Pb measured,208Pb/204Pb measured,147Sm/144Nd,143Nd/144Nd_i,87Rb/86Sr,87Sr/86Sr_i,238U/204Pb,235U/204Pb,232Th/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i
179,[46],Kerguelen Archipelago,Mont De La Tourmente,s 93-381 ,"Basalt, Transitional ",-49.5,70.5,26,[70],,,,,,,,0.512716,0.704785,,,,,,,,,,,,,
149,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-34 ,Basalt ,-48.87,68.96,28,[82],5.0,25.5,24.6,482.0,0.7,3.2,4.1,0.512487,0.705679,18.345,15.566,39.110,0.119,0.512465,0.148,0.705620,13.49,0.10,83.05,18.286,15.563,38.995
138,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-33 ,Basalt ,-48.87,68.96,28,[82],4.8,24.7,24.0,438.0,0.6,1.8,4.5,0.512485,0.705561,18.519,15.578,39.340,0.117,0.512464,0.159,0.705498,21.80,0.16,160.19,18.424,15.574,39.118
148,[42][59],Kerguelen Archipelago,Mont Des Ruches,s BY96-31 ,"Basalt  / Basalt, Transitional ",-48.87,68.96,28,[82],7.9,33.5,18.2,352.0,0.6,1.7,3.1,0.512588,0.705416,18.349,15.551,39.001,0.142,0.512562,0.150,0.705357,20.83,0.15,119.16,18.258,15.547,38.836
147,[42][59],Kerguelen Archipelago,Mont Des Ruches,s BY96-27 ,"Basalt  / Basalt, Transitional ",-48.87,68.96,28,[82],4.2,18.8,17.1,386.0,0.3,1.0,1.9,0.512630,0.705179,18.254,15.527,38.827,0.136,0.512605,0.128,0.705128,19.57,0.14,130.08,18.169,15.523,38.647
146,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-24 ,Basalt ,-48.87,68.96,28,[82],3.2,14.4,15.7,284.0,0.3,1.7,1.7,0.512643,0.705069,18.219,15.526,38.810,0.136,0.512618,0.160,0.705005,12.22,0.09,63.13,18.166,15.523,38.722
139,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-37 ,Basalt ,-48.87,68.96,28,[82],4.2,17.1,8.8,240.0,0.3,1.1,1.5,0.512664,0.705031,18.293,15.518,38.810,0.147,0.512637,0.106,0.704989,14.41,0.11,85.91,18.230,15.515,38.691
137,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-25 ,Basalt ,-48.87,68.96,28,[82],3.9,17.5,17.2,357.0,0.2,1.1,1.4,0.512647,0.705031,18.284,15.535,38.810,0.136,0.512622,0.139,0.704976,13.67,0.10,80.02,18.224,15.532,38.699
140,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-38 ,Basalt ,-48.87,68.96,28,[82],3.5,14.1,9.2,232.0,0.2,1.1,1.2,0.512665,0.705020,18.331,15.535,38.880,0.149,0.512638,0.115,0.704974,13.81,0.10,70.18,18.271,15.532,38.783
151,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-46 ,Basalt ,-48.87,68.96,28,[82],9.2,38.9,20.1,354.0,0.7,2.8,3.4,0.512675,0.704919,18.348,15.525,38.770,0.143,0.512649,0.164,0.704854,16.10,0.12,77.73,18.278,15.522,38.662
143,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-42 ,Basalt ,-48.87,68.96,28,[82],6.8,28.7,27.9,418.0,0.7,3.3,2.8,0.512767,0.704678,18.204,15.491,38.480,0.143,0.512741,0.193,0.704601,12.60,0.09,56.04,18.149,15.488,38.402
142,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-41 ,Basalt ,-48.87,68.96,28,[82],7.2,30.3,29.0,428.0,0.7,2.6,3.0,0.512768,0.704670,18.208,15.501,38.520,0.143,0.512742,0.196,0.704592,16.60,0.12,74.81,18.136,15.498,38.416
141,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-39 ,Basalt ,-48.87,68.96,28,[82],2.4,8.9,1.5,170.0,0.1,0.4,0.6,0.512770,0.704414,,,,0.166,0.512740,0.026,0.704404,0.21,0.00,1.24,,,
144,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-43 ,Basalt ,-48.87,68.96,28,[82],6.9,28.5,23.7,403.0,0.6,2.8,2.6,0.512733,0.704463,,,,0.145,0.512706,0.170,0.704395,0.16,0.00,0.80,,,
150,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-45 ,Basalt ,-48.87,68.96,28,[82],6.5,27.1,14.2,418.0,0.5,1.7,2.5,0.512752,0.704431,18.471,15.546,38.940,0.144,0.512726,0.098,0.704392,18.87,0.14,94.08,18.389,15.542,38.810
145,[42],Kerguelen Archipelago,Mont Des Ruches,s BY96-43 ,Basalt ,-48.87,68.96,28,[82],,,,,,,,0.512722,0.704467,18.346,15.523,38.710,,,,,,,,,,
164,[42][59],Kerguelen Archipelago,Mont Fontaine,s BY96-86 ,"Basalt  / Basalt, Transitional ",-48.85,69.13,28,[82],3.6,17.5,20.3,414.0,0.4,1.7,2.3,0.512619,0.705147,18.378,15.544,39.003,0.124,0.512596,0.142,0.705091,15.81,0.12,86.64,18.309,15.540,38.883
154,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-85 ,Basalt ,-48.85,69.13,28,[82],3.4,16.2,20.1,263.0,0.4,1.5,2.1,0.512649,0.705142,18.339,15.522,38.920,0.125,0.512626,0.221,0.705054,15.89,0.12,89.28,18.270,15.519,38.796
152,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-81 ,Basalt ,-48.85,69.13,28,[82],4.4,15.1,2.3,338.0,0.1,1.2,0.6,0.512735,0.704906,18.313,15.542,38.780,0.178,0.512702,0.020,0.704898,6.54,0.05,35.46,18.284,15.541,38.731
162,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-80 ,Basalt ,-48.85,69.13,28,[82],4.5,20.4,17.0,419.0,0.4,1.8,2.1,0.512693,0.704881,18.360,15.561,38.900,0.133,0.512669,0.117,0.704834,13.76,0.10,76.92,18.300,15.558,38.793
163,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-82 ,Basalt ,-48.85,69.13,28,[82],4.6,15.7,4.0,287.0,0.1,1.1,0.5,0.512738,0.704848,,,,0.177,0.512706,0.040,0.704832,0.07,0.00,0.38,,,
156,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-90 ,Basalt ,-48.85,69.13,28,[82],4.0,16.3,7.9,337.0,0.2,1.7,1.0,0.512746,0.704736,18.342,15.535,38.780,0.148,0.512719,0.068,0.704709,7.46,0.05,39.31,18.309,15.533,38.726
161,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-101 ,Basalt ,-48.85,69.13,28,[82],8.4,36.0,21.5,368.0,0.7,3.0,2.9,0.512706,0.704744,18.448,15.523,38.830,0.141,0.512680,0.169,0.704677,14.12,0.10,62.48,18.386,15.520,38.743
153,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-84 ,Basalt ,-48.85,69.13,28,[82],3.7,13.3,21.8,240.0,0.1,1.4,0.7,0.512754,0.704763,,,,0.170,0.512723,0.263,0.704659,0.07,0.00,0.44,,,
166,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-98 ,Basalt ,-48.85,69.13,28,[82],4.3,17.8,9.6,433.0,0.3,1.7,1.4,0.512761,0.704602,18.309,15.523,38.710,0.148,0.512734,0.064,0.704576,11.31,0.08,53.35,18.260,15.521,38.636
160,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-100 ,Basalt ,-48.85,69.13,28,[82],4.3,18.0,14.3,352.0,0.3,2.0,1.3,0.512759,0.704591,18.302,15.523,38.730,0.144,0.512733,0.118,0.704544,9.03,0.07,42.46,18.263,15.521,38.671
159,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-96 ,Basalt ,-48.85,69.13,28,[82],2.5,9.5,2.3,207.0,0.2,0.7,0.7,0.512712,0.704534,18.399,15.528,38.820,0.160,0.512683,0.032,0.704521,14.05,0.10,65.79,18.338,15.525,38.729
157,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-91 ,Basalt ,-48.85,69.13,28,[82],4.3,18.4,11.2,320.0,0.3,1.5,1.4,0.512747,0.704544,18.347,15.529,38.750,0.142,0.512721,0.101,0.704504,13.36,0.10,59.54,18.289,15.526,38.667
