Age_rounded,Delta_DM,yerr,Points_per_age,Weights,Locs_per_age
-900.0,-3.55010900356408,0.37099561437852674,6,0.379182156133829,1
-820.0,-3.7486399837149964,0.2398234563738555,2,0.12639405204460966,1
-650.0,-5.336266037757609,0.0,1,0.06319702602230483,1
-630.0,-3.5122137486343634,0.20793839372402584,20,1.2639405204460965,1
-570.0,-1.9610208407956353,0.9586873738252235,5,0.3159851301115241,1
-520.0,-3.356203055284925,0.9706365604451592,11,0.6951672862453532,1
-500.0,-4.02819767278198,1.0513154721136917,8,0.5055762081784386,1
-480.0,-3.1203850764230774,0.2409077920399143,7,0.4423791821561338,1
-470.0,-2.3351522886394527,0.22915218508443386,5,0.3159851301115241,1
-390.0,-0.2911444975796219,0.5073241514281225,9,0.5687732342007434,1
-350.0,-1.8751667243685235,0.6297367392002324,11,0.6951672862453532,1
-340.0,-2.6337808947035635,0.12209340272796475,10,0.6319702602230483,1
-280.0,-5.802268463717517,0.07769467917934976,14,0.8847583643122676,1
-270.0,-3.0645966894421455,1.0766965010224396,6,0.379182156133829,1
-260.0,-5.513887951925274,0.7571846508816824,6,0.379182156133829,1
-250.0,-7.471525752320435,0.8097160347972442,8,0.5055762081784386,1
-230.0,-8.674395478328378,0.14615201610039621,5,0.3159851301115241,1
-190.0,-4.440298644454055,0.27955143252225045,5,0.3159851301115241,1
-180.0,-0.4353262175123736,0.23606950848364208,6,0.379182156133829,1
-140.0,-4.784982331008806,0.3936261289090487,15,0.9479553903345724,1
-130.0,-5.985701285276164,0.7496468600270001,24,1.516728624535316,2
-120.0,-7.694497463458794,0.6670919998090464,12,0.758364312267658,2
-110.0,-10.810024650784756,0.598414546127533,46,2.907063197026022,5
-100.0,-8.784935887991246,0.5316870767137358,14,0.8847583643122676,4
-90.0,-9.463354572617211,0.29366466070859787,4,0.2527881040892193,2
-80.0,-6.7313779186111145,0.581351255556473,20,1.2639405204460965,3
-70.0,-8.613845391768411,0.44258295273035203,36,2.2750929368029738,2
-60.0,-7.190562406969483,0.3849789846231702,17,1.0743494423791822,3
-50.0,-10.520839607737992,0.9111079439457598,7,0.4423791821561338,1
-40.0,-5.236837245379267,0.2898499061905265,10,0.6319702602230483,3
-30.0,-8.084382007890639,0.18676055549414294,106,6.698884758364312,12
-20.0,-9.836705570086334,0.20165485479544137,55,3.4758364312267656,19
-10.0,-11.613939811572955,0.3425025502215467,9,0.5687732342007434,4
-0.0,-11.096043807841065,0.31017081132610325,18,1.1375464684014869,7
