Sample,Ref,Ophiolite,Location/Unit,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Age_estimate_type,Age_ref,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
C34,[2],Muslim Bagh,,,,Gabbro,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.26,12.75,,0.154665,0.512889,1,0.512808,5.32,7.6,355,0.021408,0.703927,13,0.703856,,,,,,,,,,,,,,,,,,,,
C191,[2],Muslim Bagh,,,,Gabbro,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,0.16,0.35,,0.276526,0.512848,22,0.512703,3.27,0.5,286,0.00175,0.704313,12,0.704307,,,,,,,,,,,,,,,,,,,,
N95-28 ,[3],Neyriz,,,,Basalt,WR,MOR,93.00,Ar-Ar,Babaie et al. (2003),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.250 ,6.102 ,,0.2229 ,0.513060 ,,,7.90,0.987 ,192.2 ,0.1485 ,0.70496 ,,0.70476 ,0.4040 ,0.0471 ,0.0965 ,15.4 ,7.30 ,,18.047 ,15.473 ,37.903 ,17.94,15.47,37.83,,,,,,,,
N95-33 ,[3],Neyriz,,,,Basalt,WR,MOR,93.00,Ar-Ar,Babaie et al. (2003),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.844 ,8.136 ,,0.2113 ,0.513051 ,,,7.80,7.71 ,277.9 ,0.0803 ,0.70379 ,,0.70368 ,0.1560 ,0.0508 ,0.1308 ,54.5 ,20.5 ,,18.275 ,15.464 ,38.030 ,17.98,15.45,37.78,,,,,,,,
N96-61 ,[3],Neyriz,,,,Basalt,WR,MOR,93.00,Ar-Ar,Babaie et al. (2003),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.899 ,8.346 ,,0.2100 ,0.513056 ,,,7.90,1.07 ,138.5 ,0.0224 ,0.70406 ,,0.70403 ,0.4373 ,0.0747 ,0.1813 ,26.9 ,10.7 ,,18.168 ,15.473 ,37.955 ,18.01,15.47,37.83,,,,,,,,
N96-62 ,[3],Neyriz,,,,Basalt,WR,MOR,93.00,Ar-Ar,Babaie et al. (2003),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.515 ,6.980 ,,0.2178 ,0.513056 ,,,7.80,0.435 ,134.2 ,0.0094 ,0.70432 ,,0.70431 ,0.3697 ,0.0639 ,0.1414 ,24.8 ,10.8 ,,18.152 ,15.477 ,37.954 ,18.00,15.47,37.84,,,,,,,,
N96-64 ,[3],Neyriz,,,,Basalt,WR,MOR,93.00,Ar-Ar,Babaie et al. (2003),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.703 ,7.890 ,,0.2071 ,0.513046 ,,,7.80,0.529 ,178.9 ,0.0086 ,0.70445 ,,0.70444 ,0.2389 ,0.0659 ,0.1488 ,40.4 ,17.3 ,,18.227 ,15.474 ,38.011 ,17.98,15.46,37.82,,,,,,,,
N14b G ,[3],Neyriz,,,,Gabbro,WR,MOR,93.00,Ar-Ar,Babaie et al. (2003),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.665 ,10.62 ,,0.2086 ,0.513067 ,,,8.20,2.32 ,530.4 ,0.0126 ,0.70671 ,,0.70669 ,0.3267 ,0.0879 ,0.2321 ,46.0 ,16.9 ,,18.149 ,15.444 ,37.999 ,17.90,15.43,37.79,,,,,,,,
C123,[2],Bagh Complex,,,,Basalt,WR,OIB,100,Biostratigraphy,Kojima et al. 1994,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.77,4.97,,0.215427,0.51295,11,0.512752,5.75,3.9,282,0.01384,0.706821,14,0.706741,,,,,,,,,,,,,,,,,,,,
C58,[2],Bagh Complex,,,,Basalt,WR,OIB,100,Biostratigraphy,Kojima et al. 1994,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,9.89,39.67,,0.120309,0.512797,1,0.512733,3.89,3.3,168,0.019631,0.705397,17,0.705332,,,,,,,,,,,,,,,,,,,,
CH440,[4],Kharzog,,,,Gabbro,WR,SSZ,100,Estimated from Ar-Ar,Maheo et al. 2004,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.81,2.131,,0.22973,0.513182,25,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
CH417,[4],Nidar,,,,Gabbro,WR,SSZ,100,Estimated from Ar-Ar,Maheo et al. 2004,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.279,3.717,,0.2081,0.512979,18,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
CH404,[4],Nidar,,,,Basaltic andesite,WR,SSZ,100,Estimated from Ar-Ar,Maheo et al. 2004,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.382,3.988,,0.20947,0.512964,12,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
SP19,[4],Spontang,,,,Diorite,WR,SSZ,100,Estimated from Ar-Ar,Maheo et al. 2004,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.45,4.272,,0.20526,0.512974,17,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
S03-b57,[5],Tarenben,,,,Basalt,WR,OIB,108,U-Pb,Zhu et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,4.5,17.4,,0.1566,0.512794,11,,3.6,13.9,568,0.0704,0.705812,14,0.7057,,,,,,,,,,,,,,,,,,,,
S03-b58,[5],Tarenben,,,,Basalt,WR,OIB,108,U-Pb,Zhu et al. 2008,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,7.1,36.2,,0.1184,0.512766,9,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
YZS-1 -L,[6],Xigaze,,,,Basalt,WR,MOR,110,Biostratigraphy,Marcoux et al. 1982,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.515 ,4.005 ,,0.2287 ,0.513095 ,,,8.40,13.2 ,182.2 ,0.2088 ,0.70412 ,,0.70380 ,0.3837 ,0.0375 ,0.0853 ,6.25 ,13.8 ,,17.771 ,15.427 ,37.417 ,17.53,15.42,37.38,,,,,,,,
YZS-2 -L,[6],Xigaze,,,,Basalt,WR,MOR,110,Biostratigraphy,Marcoux et al. 1982,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.274 ,6.246 ,,0.2200 ,0.513075 ,,,8.20,3.89 ,133.1 ,0.0845 ,0.70419 ,,0.70406 ,0.6177 ,0.0763 ,0.108 ,7.88 ,10.7 ,,17.704 ,15.411 ,37.351 ,17.52,15.40,37.31,,,,,,,,
YZS-3 -L,[6],Xigaze,,,,Basalt,WR,MOR,110,Biostratigraphy,Marcoux et al. 1982,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.603 ,4.224 ,,0.2294 ,0.513098 ,,,8.50,13.7 ,153.4 ,0.2579 ,0.70432 ,,0.70391 ,0.4667 ,0.0506 ,0.0654 ,6.93 ,8.67 ,,17.697 ,15.426 ,37.421 ,17.55,15.42,37.38,,,,,,,,
YZS-6 -L,[6],Xigaze,,,,Basalt,WR,MOR,110,Biostratigraphy,Marcoux et al. 1982,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.173 ,9.214 ,,0.2082 ,0.513059 ,,,8.00,4.11 ,140.0 ,0.0850 ,0.70408 ,,0.70395 ,0.2712 ,0.102 ,0.0644 ,23.9 ,14.7 ,,17.726 ,15.413 ,37.432 ,17.47,15.40,37.30,,,,,,,,
YZS-7 -L,[6],Xigaze,,,,Basalt,WR,MOR,110,Biostratigraphy,Marcoux et al. 1982,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.793 ,7.922 ,,0.2131 ,0.513066 ,,,8.10,6.61 ,130.9 ,0.1461 ,0.70406 ,,0.70383 ,0.2450 ,0.0827 ,0.0807 ,21.6 ,20.4 ,,17.765 ,15.409 ,37.388 ,17.42,15.39,37.27,,,,,,,,
YZS-11 -L,[6],Xigaze,,,,Basalt,WR,MOR,110,Biostratigraphy,Marcoux et al. 1982,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.846 ,8.160 ,,0.2148 ,0.513075 ,,,8.20,0.622 ,129.1 ,0.0139 ,0.70407 ,,0.70405 ,0.2994 ,0.0894 ,0.0546 ,19.0 ,11.2 ,,17.630 ,15.404 ,37.369 ,17.44,15.40,37.27,,,,,,,,
S03-b42,[5],Duoma,,,,Basalt,WR,OIB,115,Ar-Ar,Zhu et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.2,29.8,,0.1257,0.512628,10,,0.9,8.2,779,0.0303,0.706988,14,0.70694,,,,,,,,,,,,,,,,,,,,
S03-b44,[5],Duoma,,,,Basalt,WR,OIB,115,Ar-Ar,Zhu et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6,28.7,,0.1269,0.512628,11,,0.8,12.5,743,0.0488,0.705826,11,0.70575,,,,,,,,,,,,,,,,,,,,
G142,[7],Sevan,,,,,WR,OIB,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.12176,0.51267,8,,3.26,,,0.6276,0.6276,1,0.70543,,,,54.4859,18.2699,0.1342,19.1457,15.5681,39.1236,18.8478,15.5536,38.8401,,,,,,,,
AR-05-80,[7],Sevan,,,,,WR,OIB,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.11619,0.51269,8,,3.7,,,0.392,0.392,11,0.70349,,,,56.9259,12.7305,0.0935,18.61,15.5803,38.6686,18.4024,15.5702,38.3724,,,,,,,,
AR-03-53,[7],Stepanavan,,,,,WR,SSZ,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.12767,0.51261,1,,2.05,,,0.2974,0.2974,11,0.70498,,,,155.9984,36.8567,0.2707,19.2349,15.5901,39.5224,18.6339,15.5609,38.7107,,,,,,,,
AR-04-05,[7],Stepanavan,,,,,WR,SSZ,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.13822,0.51265,6,,2.86,,,0.1109,0.1109,9,0.70551,,,,138.024,34.3464,0.2523,19.2791,15.5926,39.6069,18.719,15.5654,38.8887,,,,,,,,
AR-05-104,[7],Vedi,,,,,WR,OIB,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.1279,0.51262,8,,2.3,,,0.0327,0.0327,9,0.70448,,,,252.2401,62.4439,0.4587,20.6925,15.6653,40.6747,19.6744,15.6158,39.3623,,,,,,,,
AR-05-78,[7],Vedi,,,,,WR,OIB,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.15218,0.51271,11,,4.01,,,0.6009,0.6009,1,0.70338,,,,89.804,26.8011,0.1968,19.2867,15.5651,39.2226,18.8497,15.5439,38.7553,,,,,,,,
AR-04-75,[7],Vedi,,,,,WR,OIB,117,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.12781,0.51268,37,,3.39,,,0.7208,0.7208,5,0.70427,,,,,,,,,,,,,,,,,,,,
MSX-29E -L,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,5.605 ,25.39 ,,0.1335 ,0.512897 ,,,6.0 ,20.3 ,330.0 ,0.1777 ,0.70314 ,,0.70284 ,1.508 ,4.32 ,0.872 ,195 ,38.0 ,,19.709 ,15.592 ,39.842 ,18.995 ,15.557 ,38.683 ,,,,,,,,
MSX-219E -L,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,4.364 ,15.45 ,,0.1708 ,0.512881 ,,,5.1 ,0.690 ,67.69 ,0.0295 ,0.70435 ,,0.70430 ,,,,,,,,,,,,,,,,,,,,
MSX-222E -L,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,,,,,,,,,105 ,698.8 ,0.4342 ,0.70455 ,,0.70381 ,,,,,,,,,,,,,,,,,,,,
F-54E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,2.786 ,20.38 ,,0.0826 ,0.512700 ,,,2.9 ,,,,,,,3.041 ,18.7 ,3.41 ,413 ,73.0 ,,19.189 ,15.514 ,39.662 ,17.818 ,15.448 ,37.200 ,,,,,,,,
F-70E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,5.240 ,24.96 ,,0.1269 ,0.512845 ,,,5.1 ,,,,,,,1.121 ,2.71 ,0.813 ,162 ,47.2 ,,19.838 ,15.602 ,39.268 ,18.951 ,15.559 ,38.303 ,,,,,,,,
I-669E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,6.610 ,40.24 ,,0.0993 ,0.512819 ,,,5.0 ,,,,,,,2.168 ,6.69 ,1.33 ,208 ,40.0 ,,19.562 ,15.599 ,39.742 ,18.810 ,15.563 ,38.503 ,,,,,,,,
J-53E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,13.97 ,70.56 ,,0.1196 ,0.512732 ,,,3.0 ,,,,,,,2.461 ,7.15 ,1.19 ,196 ,31.6 ,,19.427 ,15.561 ,39.506 ,18.833 ,15.532 ,38.340 ,,,,,,,,
J-179E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,5.770 ,28.66 ,,0.1217 ,0.512873 ,,,5.7 ,,,,,,,0.829 ,4.45 ,0.834 ,367 ,65.3 ,,18.939 ,15.518 ,39.639 ,17.712 ,15.459 ,37.451 ,,,,,,,,
Z-114E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,5.261 ,26.02 ,,0.1222 ,0.512814 ,,,4.5 ,,,,,,,1.238 ,3.38 ,0.929 ,182 ,48.5 ,,19.403 ,15.561 ,39.253 ,18.492 ,15.517 ,38.169 ,,,,,,,,
Z131E -U,[6],Masirah,,,,Basalt,WR,MOR,120.00,K-Ar,Smewing et al. 1991,,Tethys,,Post-Pangea Formation,8.502 ,47.88 ,,0.1073 ,0.512774 ,,,4.0 ,,,,,,,1.457 ,13.3 ,3.10 ,632 ,142 ,,20.404 ,15.610 ,40.409 ,17.728 ,15.480 ,36.645 ,,,,,,,,
DZ98-1 G ,[3],Dazhuqu–Dazhuka ,,,,Gabbro,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.446 ,6.660 ,,0.2220 ,0.513118 ,,,8.90,0.728 ,180.7 ,0.0117 ,0.70356 ,,0.70354 ,0.5924 ,0.0160 ,0.0492 ,5.27 ,1.66 ,,17.44,15.395 ,37.253 ,17.41,15.39,37.22,,,,,,,,
DZ98-12 D ,[3],Dazhuqu–Dazhuka ,,,,Diabase,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.677 ,7.654 ,,0.2114 ,0.513108 ,,,8.90,0.301 ,128.0 ,0.0068 ,0.70451 ,,0.70450 ,0.3986 ,0.0392 ,0.0798 ,12.7 ,6.06 ,,17.56,15.404 ,37.326 ,17.45,15.40,37.25,,,,,,,,
DZ98-12 D -L,[3],Dazhuqu–Dazhuka ,,,,Diabase,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.162 ,5.595 ,,0.2355 ,0.513118 ,,,8.70,0.359 ,169.7 ,0.0061 ,0.70440 ,,0.70439 ,0.3539 ,0.0404 ,0.0759 ,13.6 ,7.03 ,,17.56,15.399 ,37.295 ,17.43,15.39,37.21,,,,,,,,
DZ98-19 ,[3],Dazhuqu–Dazhuka ,,,,Basalt,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.896 ,8.642 ,,0.2026 ,0.513080 ,,,8.50,1.82 ,158.1 ,0.0333 ,0.70433 ,,0.70427 ,0.3676 ,0.0336 ,0.0803 ,13.9 ,5.64 ,,17.58,15.401 ,37.339 ,17.48,15.40,37.26,,,,,,,,
LC98-3 ,[3],Langceling,,,,Basalt,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.706 ,4.639 ,,0.2223 ,0.513109 ,,,8.80,3.35 ,98.84 ,0.0980 ,0.70472 ,,0.70455 ,0.3086 ,0.1204 ,0.0504 ,10.5 ,24.3 ,,18.13,15.465 ,37.550 ,17.67,15.44,37.49,,,,,,,,
LC98-4 ,[3],Langceling,,,,Basalt,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.477 ,3.534 ,,0.2525 ,0.513133 ,,,8.80,10.3 ,130.0 ,0.2291 ,0.70485 ,,0.70446 ,0.5855 ,0.2319 ,0.0558 ,6.14 ,24.7 ,,18.13,15.465 ,37.496 ,17.66,15.44,37.46,,,,,,,,
LC98-6 ,[3],Langceling,,,,Basalt,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.023 ,2.413 ,,0.2561 ,0.513136 ,,,8.80,5.22 ,82.20 ,0.1836 ,0.70483 ,,0.70451 ,0.2784 ,0.0154 ,0.0239 ,5.50 ,3.42 ,,17.77,15.456 ,37.582 ,17.71,15.45,37.55,,,,,,,,
XL98-10 D ,[3],Xialu,,,,Diabase,WR,MOR,120.00,Biostratigraphy,Ziabrev et al. 2003,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.705 ,8.011 ,,0.2041 ,0.513083 ,,,8.50,2.11 ,166.3 ,0.0366 ,0.70345 ,,0.70339 ,0.2350 ,0.0488 ,0.0947 ,25.8 ,12.9 ,,17.72,15.435 ,37.438 ,17.48,15.42,37.28,,,,,,,,
DC-9-6,[5],Dongco,,,,Basalt,WR,OIB,125,Ar-Ar,Zhang et al. 2014,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,5.35,29.1,,0.1112,0.512659,9,,1.78,93.7,161,1.6883,0.707798,18,0.704799,,,,,,,,,,,,,,,,,,,,
DC-10-3,[5],Dongco,,,,Basalt,WR,OIB,125,Ar-Ar,Zhang et al. 2014,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,3.17,17,,0.1129,0.512379,11,,-3.71,3.63,272,0.0386,0.705059,11,0.704991,,,,,,,,,,,,,,,,,,,,
12FW89,[8],Luobusa,,,,Dolerite,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.64,7.56,,0.212,0.513027,13,,7.3,0.45,93.53,0.014,0.703511,14,0.703485,,,,,,,,,,,,,,0.388,1.785,0.031,0.28318,0.000013,,14.6
12FW90,[8],Luobusa,,,,Dolerite,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.14,8.97,,0.211,0.513087,13,,8.5,0.29,70.42,0.012,0.703523,9,0.703502,,,,,,,,,,,,,,0.464,2.408,0.027,0.283161,0.00001,,14.3
12FW93,[8],Luobusa,,,,Dolerite,WR,MOR,130,U-Pb,Zhang et al. 2016,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.1,5.95,,0.214,0.512911,15,,5,1.66,122.16,0.039,0.703081,12,0.703009,,,,,,,,,,,,,,0.295,1.539,0.027,0.283174,0.000016,,14.7
