Age_rounded,Delta_DM,yerr,Points_per_age,Weights,Locs_per_age
-900.0,-1.1418195226007288,0.21571711555244877,5,0.11602922217447356,1
-890.0,-2.4482429524283478,0.30871607866673595,4,0.09282337773957886,1
-870.0,-5.4491071661981,0.22310428656608494,9,0.20885259991405242,1
-860.0,-1.7243297962155069,0.0,1,0.023205844434894714,1
-820.0,-2.975369501196923,0.0,1,0.023205844434894714,1
-800.0,-3.2586343723459144,0.7755951968990981,4,0.09282337773957886,1
-770.0,-0.3961457768806668,0.1939617898796212,6,0.13923506660936827,1
-760.0,-1.3859091786802067,0.2514100096285743,17,0.3944993553932101,1
-750.0,-0.5589405602490288,0.13212934508949584,46,1.0674688440051567,1
-740.0,-4.204766245313296,0.3586546647581283,15,0.3480876665234207,1
-640.0,-3.9085373178920295,0.9924296342641705,9,0.20885259991405242,1
-630.0,0.8100535225577917,0.17486880212488812,7,0.162440911044263,1
-600.0,-5.447793449130854,0.3196694618568187,7,0.162440911044263,1
-570.0,-2.729435780818418,0.3923172287620039,19,0.44091104426299954,1
-550.0,-1.5866168485172139,0.15332563218634226,24,0.5569402664374731,1
-510.0,-2.620359952903174,0.4602445671037489,23,0.5337344220025784,1
-500.0,-2.0810114718219492,0.23227709183128153,52,1.206703910614525,1
-490.0,-2.7704489678157285,0.7090421132777247,9,0.20885259991405242,1
-480.0,-2.479732148433574,0.19000958483213212,60,1.3923506660936829,1
-470.0,-2.271673339713707,0.5654732522327002,7,0.162440911044263,1
-450.0,-2.1932132634550072,0.09789583894444348,5,0.11602922217447356,1
-410.0,-0.5116042950843724,0.10639365756745378,8,0.1856467554791577,1
-400.0,-0.29944814649293516,0.1314946212368481,57,1.3227331327889986,1
-380.0,-2.551440953772651,2.0407745972966045,3,0.06961753330468413,1
-370.0,-2.669154152020662,0.3713421372722303,15,0.3480876665234207,1
-360.0,-2.8845037804848936,0.6782357369541959,9,0.20885259991405242,1
-350.0,-0.3015635853253114,0.42265948385733654,24,0.5569402664374731,1
-340.0,-2.5446424334129607,0.6108077891384719,21,0.48732273313278895,1
-330.0,-1.5952564389551946,0.3454520020768739,15,0.3480876665234207,1
-320.0,-2.9231556279816853,0.43432767686890006,7,0.162440911044263,1
-300.0,-0.5037738984547957,0.476247909510142,9,0.20885259991405242,1
-280.0,-2.5655540265195897,1.5485880139770591,2,0.04641168886978943,1
-270.0,-4.9369472467492015,1.2267445865422504,8,0.1856467554791577,1
-230.0,-6.21667192758002,0.34261122274039957,5,0.11602922217447356,1
-200.0,-1.3191950790239493,0.4984629395722175,4,0.09282337773957886,1
-180.0,-1.6909708197194726,0.1281645041056128,15,0.3480876665234207,1
-170.0,-3.103608290931,0.3226588574503724,30,0.6961753330468414,1
-160.0,-1.5058621346628378,0.20216434041843553,77,1.786850021486893,1
-150.0,-1.450651670533339,0.4757227621773166,18,0.41770519982810483,1
-140.0,-2.8499374239961184,0.19896002263391893,46,1.0674688440051567,1
-130.0,-1.3622272943828184,0.38402426430937875,29,0.6729694886119467,1
-120.0,-3.7211932230246156,0.6122611787720911,33,0.7657928663515255,1
-110.0,-3.69010285814797,1.085690093205805,10,0.23205844434894712,1
-100.0,-4.002465359036649,0.9470603777895024,13,0.30167597765363124,1
-90.0,-2.9021138314137365,0.4966863873482714,12,0.27847013321873654,1
-80.0,-4.780945862883623,0.5942973225169274,25,0.5801461108723678,1
-70.0,-2.8449442497243314,0.8645963630057967,12,0.27847013321873654,1
-60.0,-1.7456345512000089,0.4611214607346943,26,0.6033519553072625,1
-50.0,-3.575647681061805,0.5156906737702501,8,0.1856467554791577,1
-40.0,-3.3924791068157822,0.5235511607364811,20,0.46411688869789425,1
-30.0,-1.916824134144458,0.20931348392723467,49,1.137086377309841,1
-20.0,-1.8376896388849764,0.2029558816702339,36,0.8354103996562097,1
-10.0,-1.0620346685954634,0.19013299114524998,65,1.5083798882681563,1
-0.0,-1.6531418968631872,0.0633947010498209,1286,29.8427159432746,4
