Age_rounded,Delta_DM,yerr,Points_per_age,Weights,Locs_per_age
-900.0,-3.55010900356408,0.37099561437852674,6,0.7281553398058253,1
-820.0,-3.7486399837149964,0.2398234563738555,2,0.24271844660194175,1
-650.0,-5.336266037757609,0.0,1,0.12135922330097088,1
-630.0,-3.5122137486343634,0.2079383937240258,20,2.4271844660194173,1
-570.0,-1.9610208407956353,0.9586873738252235,5,0.6067961165048543,2
-520.0,-3.356203055284925,0.9706365604451593,11,1.3349514563106797,1
-500.0,-4.02819767278198,1.0513154721136917,8,0.970873786407767,1
-480.0,-3.1203850764230774,0.2409077920399143,7,0.8495145631067961,4
-470.0,-2.3351522886394527,0.2291521850844339,5,0.6067961165048543,1
-390.0,-0.2911444975796219,0.5073241514281225,9,1.0922330097087378,1
-350.0,-1.8751667243685235,0.6297367392002324,11,1.3349514563106797,2
-340.0,-2.6337808947035635,0.12209340272796479,10,1.2135922330097086,1
-280.0,-5.802268463717517,0.0776946791793497,14,1.6990291262135921,1
-270.0,-3.0645966894421455,1.0766965010224396,6,0.7281553398058253,1
-260.0,-5.513887951925274,0.7571846508816823,6,0.7281553398058253,1
-250.0,-7.471525752320435,0.8097160347972443,8,0.970873786407767,1
-230.0,-8.674395478328378,0.14615201610039683,5,0.6067961165048543,1
-190.0,-4.440298644454055,0.27955143252225045,5,0.6067961165048543,1
-180.0,-0.4353262175123736,0.23606950848364208,6,0.7281553398058253,2
-140.0,-4.784982331008806,0.3936261289090487,15,1.820388349514563,3
-130.0,-4.847079100617213,0.21842399074409757,20,2.4271844660194173,3
-120.0,-7.787723878098167,0.7925132595653279,9,1.0922330097087378,4
-110.0,-6.048068369186588,0.0,2,0.24271844660194175,1
-100.0,-4.8548591617259,0.9291006715739236,2,0.24271844660194175,1
-70.0,-6.1389593070678625,0.1510800255669377,13,1.5776699029126213,1
