,SAMPLE ID,IGSN,REFERENCES,LATITUDE,LONGITUDE,AGE,ROCK TYPE,ROCK NAME,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,eNd,eNd_i,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,SR87_SR86,SR87_SR86_INI,RB87_SR86,LA,CE,PR,Nd,Sm,EU,GD,TB,DY,HO,ER,TM,YB,LU,TH,NB,TA,U,RB,SR,ZR,HF,Y,BA,geometry,Estimated_Age,Uni_Age,Binned_Age,Binned_Estimated_Age,143Nd_CALC,Delta_DM,Age_rounded
8847,ODP0152-0918D-108R-001/042-046/PC-2B,,"FITTON, 1998",63.0929,-38.6389,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513129,0.513053345,,,,,,,,,,0.703048,,,1.9,5,,5.3,1.84,0.83,5.6,0.63,,,,,2.63,0.4,0.2,1.7,0.12,,0.8,80.2,40.9,1.34,23.9,10,POINT (-38.6389 63.0929),55.098648,55.09864807,,40 - 60 Ma,,-0.336830198,60
8849,ODP0152-0918D-109R-003/050-054/PC-5,,"FITTON, 1998",63.0929,-38.6389,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513076,0.512999892,,,,,,,,,,0.703003,,,2.8,7.6,,6.7,2.34,0.99,,0.68,,,,,2.71,0.43,0.31,3.4,0.21,,1.3,95.2,61,1.93,25.3,13,POINT (-38.6389 63.0929),55.098648,55.09864807,,40 - 60 Ma,,-1.378658978,60
8854,ODP0152-0918D-111R-003/077-081/PC-9B,,"FITTON, 1998",63.0929,-38.6389,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513054,0.512979859,,,,17.889,,15.486,,37.864,,0.702966,,,3.4,9.5,,8.7,2.96,1.25,,0.92,,,,,3.88,0.61,0.32,3.1,0.21,,0.6,92.2,67.6,2.09,39.2,9,POINT (-38.6389 63.0929),55.098648,55.09864807,,40 - 60 Ma,,-1.769115448,60
8862,ODP0163-0988A-004R-001/092-098/11,,"SAUNDERS, 1999",65.7042,-34.871,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512896,,0.166,,5.27,17.981,,15.414,,37.884,,0.70335,,,15,33.3,,21,5.53,1.91,6.22,1.01,,,,,3.02,0.45,1.31,17.8,0.98,,3,242,165,4.22,37,125,POINT (-34.871 65.7042),nan,,,,,,
8866,ODP0163-0989B-010R-002/009-015/2,,"SAUNDERS, 1999",63.5226,-39.9018,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513129,,0.294,,8.84,18.1,,15.459,,37.834,,0.702975,,,1.9,4.5,,3.7,1.75,0.71,2.73,0.6,,,,,2.42,0.34,0.24,1.9,0.11,,1,69,45,1.27,24,19,POINT (-39.9018 63.5226),nan,,,,,,
8868,ODP0163-0989B-011R-001/058-063/7,,"SAUNDERS, 1999",63.5226,-39.9018,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512908,,0.253,,4.83,16.846,,15.163,,37.191,,0.703508,,,2.2,6.2,,4.6,1.87,0.81,2.74,0.59,,,,,2.47,0.45,0.22,2.2,0.13,,2,84,47,1.49,24,34,POINT (-39.9018 63.5226),nan,,,,,,
8875,ODP0163-0990A-009R-003/076-082/3C,,"SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512437,,0.163,,,15.179,,14.75,,35.495,,0.703332,,,4,10.6,,8.1,2.11,0.88,3.02,0.59,,,,,2.41,0.39,0.33,2.1,0.13,,2,119,57,1.61,25,69,POINT (-39.7801 63.4729),nan,,,,,,
8876,ODP0163-0990A-013R-003/097-103/9A,,"SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512697,,0.218,,0.99,15.816,,14.905,,37.254,,0.704366,,,3.3,7.4,,6,2.1,0.81,3.32,0.62,,,,,2.57,0.39,0.37,2,0.1,,3,90,53,1.45,26,34,POINT (-39.7801 63.4729),nan,,,,,,
8881,ODP0163-0990A-018R-006/076-082/3A,,"SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.5127,,0.209,,1.12,16.301,,14.995,,36.914,,0.703861,,,3.5,8.1,,6,1.99,0.83,2.91,0.61,,,,,2.31,0.39,0.27,2.7,0.15,,1,107,49,1.42,23,57,POINT (-39.7801 63.4729),nan,,,,,,
8885,ODP0163-0990A-022R-001/047-053/4,,"SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512621,,0.235,,,15.907,,14.948,,36.296,,0.703526,,,2.7,6.3,,4.2,1.57,0.62,2.62,0.45,,,,,1.87,0.31,0.23,1.7,0.07,,3,88,41,1.11,18,26,POINT (-39.7801 63.4729),nan,,,,,,
8888,ODP0163-0990A-023R-002/041-047/2B,,"SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512644,,0.205,,0.05,15.709,,14.866,,36.109,,0.70352,,,2.8,6.4,,5.1,1.66,0.71,2.62,0.53,,,,,2.07,0.34,0.22,1.4,0.08,,2,96,42,1.23,21,80,POINT (-39.7801 63.4729),nan,,,,,,
8891,ODP0163-0990A-024R-001/015-018/3,,"SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513134,,0.22,,9.5,18.029,,15.407,,37.753,,0.702884,,,3.7,10.7,,10.5,3.7,1.45,5.78,0.97,,,,,3.33,0.52,0.26,3.1,0.16,,3,112,102,2.77,37,10,POINT (-39.7801 63.4729),nan,,,,,,
8892,ODP0163-0990A-024R-003/016-020/2A,,"LARSEN, 1999; SAUNDERS, 1999",63.4729,-39.7801,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512911,,0.255,,4.45,16.888,,15.177,,37.321,,0.703494,,,1.7,4.4,,3.8,1.53,0.64,2.29,0.48,,,,,2.04,0.32,0.14,1.2,0.08,,4,71,39,1.17,20,18,POINT (-39.7801 63.4729),nan,,,,,,
8894,ODP0183-1140-025R-006/051-058,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513025,0.51298,0.2155,,,18.231,18.17,15.502,15.5,38.4,38.31,0.703429,0.70342,0.029,3.74,10.1,1.73,9.49,3.38,1.24,4.53,0.85,5.42,1.15,3.24,0.55,3.1,0.46,0.47,3.15,0.22,0.1,1.3,130,84,2.39,29.3,22.7,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-2.114737416,40
8895,ODP0183-1140-026R-001/007-010,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513001,,,,,18.172,,15.531,,38.28,,0.703434,0.70334,0.194,,,,,,,,,,,,,,,,,,,9.5,142,87,,31,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8897,ODP0183-1140-027R-002/000-005,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513013,,,,,18.219,,15.532,,38.38,,0.703379,0.70339,0.0179,,,,,,,,,,,,,,,,,,,0.8,129,86,,32,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8900,ODP0183-1140-028R-003/029-032,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513008,,,,,18.237,,15.54,,38.45,,0.703388,0.70338,0.0219,,,,,,,,,,,,,,,,,,,1,132,88,,32,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8902,ODP0183-1140-031R-001/053-057,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512812,,,,,18.524,,15.564,,38.87,,0.704257,0.7042,0.121,,,,,,,,,,,,,,,,,,,10.8,259,169,,33,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8903,ODP0183-1140-031R-001/057-061,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512829,0.51279,0.1636,,,18.544,18.46,15.575,15.57,38.91,38.79,0.704281,0.70425,0.0689,13,1.17,4.4,20.4,5.51,1.79,6.04,1.03,6.19,1.3,3.41,0.53,2.98,0.47,1.64,13.3,0.87,0.37,6.23,262,167,4.03,31.9,100,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-5.817802253,40
8904,ODP0183-1140-031R-001/095-105,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512815,0.51278,0.1538,,,18.512,18.42,15.555,15.55,38.83,38.7,0.704233,0.70422,0.0305,13.2,31.7,4.4,20.3,5.16,1.78,7.94,1.02,6.08,1.27,3.23,0.49,3.06,0.44,1.59,12.8,0.88,0.36,2.65,252,164,3.95,31.5,89.9,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-6.012700402,40
8905,ODP0183-1140-031R-002/020-024,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512783,0.51275,0.1535,,,18.59,18.49,15.576,15.57,38.97,38.83,0.704466,0.70443,0.0746,19.9,47.6,6.52,29,7.37,2.32,,1.32,7.87,1.66,4.36,0.64,3.94,0.58,2.44,20.3,1.33,0.58,6.65,258,234,5.64,41.8,142.8,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-6.59739485,40
8907,ODP0183-1140-032R-001/055-057,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512767,,,,,18.605,,15.577,,39.01,,0.704411,0.70439,0.0431,,,,,,,,,,,,,,,,,,,3.9,262,239,,46,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8908,ODP0183-1140-032R-001/126-131,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512791,0.51276,0.1559,,,18.608,18.53,15.567,15.56,39,38.88,0.704469,0.70443,0.0869,19.7,45.8,6.5,28.4,7.31,2.27,8.21,1.38,8.02,1.66,4.36,0.69,3.96,0.58,2.52,19.4,1.4,0.58,7.62,254,234,5.74,41.9,137,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-6.402496701,40
8909,ODP0183-1140-032R-002/045-050,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512785,0.51275,0.1592,,,18.61,18.51,15.589,15.58,39.02,38.88,0.704426,0.7044,0.0504,19.6,45.6,6.47,28.1,7.4,2.28,7.97,1.34,7.92,1.61,4.25,0.64,3.8,0.52,2.32,21.9,1.32,0.57,4.53,260,231,5.46,41.6,182,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-6.59739485,40
8910,ODP0183-1140-032R-004/000-006,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512945,0.5129,0.2129,,,18.574,18.27,15.551,15.57,38.63,38.61,0.703775,0.7037,0.155,3.98,10.4,1.71,8.67,3.05,1.13,4.08,0.77,4.96,1.06,2.97,0.51,2.88,0.43,0.53,3.72,0.25,0.56,7.03,131,78,2.12,27.8,34.6,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-3.673922611,40
8911,ODP0183-1140-033R-001/122-126,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51295,0.5129,0.2059,,,18.416,18.27,15.535,15.53,38.6,38.49,0.703851,0.70369,0.331,4.29,11.1,1.83,9.08,3.09,1.13,4.36,0.81,5.1,1.14,3.05,0.5,2.94,0.46,0.53,3.9,0.26,0.22,14.5,127,77,2.2,27.5,27.8,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-3.673922611,40
8913,ODP0183-1140-033R-002/078-081,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512924,,,,,18.386,,15.539,,38.6,,0.703729,0.70373,0.0069,,,,,,,,,,,,,,,,,,,0.3,126,81,,31,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8914,ODP0183-1140-033R-003/019-024,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512952,0.5129,0.2101,,,18.413,18.33,15.553,15.55,38.67,38.57,0.70376,0.70375,0.0188,4.2,10.9,1.7,8.91,3.1,1.1,4.08,0.78,4.94,1.07,3.03,0.47,2.91,0.44,0.51,3.48,0.25,0.13,0.75,116,74,2.08,26.8,30.2,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-3.673922611,40
8920,ODP0183-1140-034R-006/033-039,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512949,0.5129,0.2007,,,18.383,18.31,15.533,15.53,38.55,38.46,0.703697,0.70369,0.0126,4.11,11.1,1.71,9.44,3.13,1.17,4.3,0.81,5.03,1.11,3.09,0.5,3,0.45,0.45,3.71,0.25,0.11,0.56,128,79,2.16,28.8,23.8,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-3.673922611,40
8923,ODP0183-1140-035R-004/050-052,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512942,,,,,18.421,,15.543,,38.61,,0.703705,0.70369,0.0315,,,,,,,,,,,,,,,,,,,1.5,138,82,,31,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8926,ODP0183-1140-036R-003/097-118,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512958,0.51291,0.2107,,,18.386,18.32,15.527,15.52,38.58,38.5,0.703697,0.70369,0.0158,3.95,10.6,1.68,8.8,3.07,1.1,4.21,0.77,4.88,1.06,3.03,0.47,2.71,0.44,0.44,3.5,0.24,0.1,0.68,124,76,2.04,27.6,24.5,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-3.479024461,40
8932,ODP0183-1140-037R-003/104-108,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512937,,,,,18.477,,15.561,,38.7,,0.703766,0.70365,0.243,,,,,,,,,,,,,,,,,,,11.5,137,82,,31,,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,,40
8933,ODP0183-1140-037R-004/023-032,,"WEIS, 2002",-46.277,68.492,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512961,0.51291,0.2032,,,18.387,18.31,15.526,15.52,38.57,38.47,0.703691,0.70368,0.0163,4.11,10.9,1.75,9.14,3.07,1.18,4.31,0.83,5.19,1.12,3.15,0.49,2.89,0.44,0.45,3.67,0.24,0.11,0.69,123,78,2.1,28.2,24.4,POINT (68.492 -46.277),42.78904,42.78903961,,40 - 60 Ma,,-3.479024461,40
9109,ODP0187-1156B-002R-001/072-082,,"KEMPTON, 2002",-42.7314,127.888,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513011,,,,7.21,18.0148,17.997,15.4642,15.464,37.8494,37.834,0.703017,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (127.888 -42.7314),21.120804,21.12080383,,20 - 40 Ma,0.51298042,,20
9111,ODP0187-1156B-004R-001/102-106,,"PEDERSEN, 2004; WALLACE, 2004",-42.7314,127.888,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51298,0.512952096,0.202,6.67,,,,,,,,0.703003,,,,,,9.78,3.26,,,,,,,,,,,,,,,,,,,,POINT (127.888 -42.7314),21.120804,21.12080383,,20 - 40 Ma,,-3.2716559,20
9112,ODP0187-1156B-005R-001/120-123,,"KEMPTON, 2002",-42.7314,127.888,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512982,0.512954159,,,6.66,18.011,17.991,15.4642,15.464,37.8429,37.827,0.703007,,,3.28,9.58,1.54,7.8,2.6,1,3.28,0.61,4.2,0.9,2.59,0.4,2.67,0.4,0.12,2.1,0.15,0.05,2.51,135,80.2,2.11,25,7.4,POINT (127.888 -42.7314),21.120804,21.12080383,,20 - 40 Ma,0.512952227,-3.231440446,20
9115,ODP0187-1158B-004R-001/034-038,,"KROLIKOWSKA-CIAGLO, 2005",-43.9464,128.828,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513046,,,,,,,,,,,0.702694,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (128.828 -43.9464),19.373077,19.37307739,,10 - 20 Ma,,,20
9117,ODP0187-1158B-004R-001/046-048A,,"KROLIKOWSKA-CIAGLO, 2005",-43.9464,128.828,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513042,0.513013,0.21,,,,,,,,,0.703642,0.703629,0.045,,,,14.7,5.13,,,,,,,,,,,,,,2.29,146,,,,,POINT (128.828 -43.9464),19.373077,19.37307739,,10 - 20 Ma,,-2.134165283,20
9118,ODP0187-1158B-004R-001/046-048S,,"KROLIKOWSKA-CIAGLO, 2005",-43.9464,128.828,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513049,0.51302,0.21,,,,,,,,,0.703043,0.703035,0.027,,,,12.3,4.28,,,,,,,,,,,,,,1.14,124,,,,,POINT (128.828 -43.9464),19.373077,19.37307739,,10 - 20 Ma,,-1.99774562,20
9119,ODP0187-1158B-004R-001/111-114,,"KEMPTON, 2002",-43.9464,128.828,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513066,0.513039638,,,8.28,18.5812,18.548,15.5001,15.5,38.1773,38.163,0.702725,,,4.64,14.64,2.39,12.7,4.37,1.54,5.94,1.03,7.09,1.62,4.5,0.72,4.66,0.73,0.13,2.28,0.16,0.1,9.17,118,141.6,3.7,44.8,8.3,POINT (128.828 -43.9464),19.373077,19.37307739,,10 - 20 Ma,0.51303752,-1.615023472,20
9121,ODP0187-1160A-003R-001/019-021,,"PEDERSEN, 2004",-44.01,134.998,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513044,0.513016312,0.206,7.92,,,,,,,,0.702533,,,,,,4.35,1.48,,,,,,,,,,,,,,,,,,,,POINT (134.998 -44.01),20.550537,20.55053711,,20 - 40 Ma,,-2.036312647,20
9122,ODP0187-1160A-003R-001/019-021,,"KEMPTON, 2002",-44.01,134.998,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513074,0.51304585,,,8.43,18.8684,18.849,15.5203,15.52,38.3609,38.349,0.702542,,,3.66,11.69,1.92,9.96,3.45,1.3,4.51,0.82,5.48,1.24,3.51,0.54,3.61,0.58,0.1,2.02,,0.05,2.09,147,107.3,2.81,33.4,16.7,POINT (134.998 -44.01),20.550537,20.55053711,,20 - 40 Ma,0.513043693,-1.460656054,20
9277,ODP0210-1276A-088-002/88¿92,,"HART, 2006",45.4053,-44.7858,104.7,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512598,0.512478949,,,,18.4876,,15.5586,,38.1543,,0.706337,,,9.63,17.46,2.15,9.67,2.78,2.277,2.87,0.479,2.96,0.586,1.603,0.238,1.593,0.253,1.673,18.44,1.251,0.747,30.9,356,167.2,4.67,15.53,2509,POINT (-44.7858 45.4053),,104.7,100 - 120 Ma,,,-10.12918165,100
9279,ODP0210-1276A-088-005/67¿71,,"HART, 2006",45.4053,-44.7858,105.3,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512612,0.512497093,,,,18.5096,,15.5596,,38.1363,,0.706133,,,9.9,18.86,2.31,10.33,2.85,2.061,2.95,0.495,3.05,0.615,1.685,0.246,1.62,0.266,2.238,28.26,1.987,0.879,28.7,260,228.1,5.84,17.04,1746,POINT (-44.7858 45.4053),,105.3,100 - 120 Ma,,,-9.758503207,110
9280,ODP0210-1276A-099-003/19¿22,,"HART, 2006",45.4053,-44.7858,99.7,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51274,0.512643431,,,,19.9879,,15.6396,,39.4972,,0.7059,,,18.28,35.83,4.27,18.09,4.43,1.828,4.19,0.658,3.78,0.714,1.753,0.237,1.445,0.222,1.433,28.5,2.255,0.467,33.7,278,94.6,2.98,19.77,745,POINT (-44.7858 45.4053),,99.7,80 - 100 Ma,,,-7.064389537,100
9281,ODP0210-1276A-099-005/30¿34,,"HART, 2006",45.4053,-44.7858,97.8,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512728,0.51262451,,,,20.358,,15.6576,,39.5603,,0.705906,,,12.49,25.86,3.27,14.54,3.89,1.281,3.76,0.606,3.51,0.682,1.71,0.238,1.47,0.234,1.779,34.14,2.461,0.53,36.3,395,195.9,4.97,18.94,745,POINT (-44.7858 45.4053),,97.8,80 - 100 Ma,,,-7.486978923,100
9282,ODP0210-1276A-099-006/24¿30,,"HART, 2006",45.4053,-44.7858,95.9,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512731,0.512626086,,,,20.5031,,15.6686,,39.6913,,0.705792,,,10.06,20.91,2.7,12.22,3.38,1.147,3.29,0.548,3.33,0.637,1.662,0.237,1.443,0.232,1.842,29.07,2.275,0.603,38.8,364,171.4,4.64,17.94,843,POINT (-44.7858 45.4053),,95.9,80 - 100 Ma,,,-7.51003647,100
9455,MOA8801-018-004,,"HANAN, 2004; PYLE, 1992; PYLE, 1994",-50.042,126.742,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513025,0.513020111,,6.8,,17.924,,15.472,,37.8,,0.70305,,,4.1,13.3,,11.3,3.32,1.21,,0.66,,,,,2.64,0.4,0.15,,0.24,0.14,,165,107,2.52,27.9,19,POINT (126.742 -50.042),4.208313,4.208312988,,< 5 Ma,,-2.424602445,0
9462,MOA8801-024-018,,"HANAN, 2004; PYLE, 1992; PYLE, 1994",-49.768,126.167,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512997,0.512993376,,6.4,,17.955,,15.462,,37.858,,0.70305,,,4.46,13.8,,12.1,3.45,1.22,,0.77,,,,,2.76,0.44,0.17,,0.27,3.76,,170,111,2.59,27.5,19.9,POINT (126.167 -49.768),3.2143173,3.214317322,,< 5 Ma,,-2.973718065,0
9473,NORGEOR3-345-001,JBG000029,"MORTIMER, 1998; TODD, 2011",-30.93,168.82,18.4,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513,,,,6.9,19.323,,15.604,,38.87,,0.70348,0.702681,,35,72,,,,,,,,,,,,,4.7,53,,7,12,565,220,,43,236,POINT (168.82 -30.93),,18.4,10 - 20 Ma,,0.512968032,,20
9521,PIL7003-029-A,,"DOSSO, 1991",11.283,-43.625,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513157,0.513156072,,,,18.337,,15.495,,37.813,,0.70258,,,,,,11.45,3.97,,,,,,,,,,,,,,1.69,115.7,,,,,POINT (-43.625 11.283),0.67705536,0.677055359,,< 5 Ma,,0.125045686,0
9523,PIL7003-029-D,,"DOSSO, 1991",11.283,-43.625,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513157,0.51315607,,,,18.345,,15.499,,37.783,,0.702697,,,,,,11.6,4.03,,,,,,,,,,,,,,1.9,114.8,,,,,POINT (-43.625 11.283),0.67705536,0.677055359,,< 5 Ma,,0.125009742,0
9524,POLARK7-1-21861-003,,"MERTZ, 1997",70.9375,-13.0158,,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,0.512971,,,,,18.983,,15.545,,38.78,,0.703224,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-13.0158 70.9375),3.4142685,3.414268494,,< 5 Ma,,,0
9529,SHK0462-006,,"COOGAN, 2004",-32.7,57.3,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513032,0.51301607,,,,,,,,,,,,,3.67238,10.2148,2.01188,10.7265,3.79587,1.46653,4.56556,0.904666,5.96106,1.28894,3.81124,0.64806,3.77395,0.573565,0.127111,1.2962,,,,,99.9967,,36.9143,,POINT (57.3 -32.7),11.383919,11.38391876,,10 - 20 Ma,,-2.300367324,10
9533,SHK0463-003,,"COOGAN, 2004",-31.9,57.07,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513107,0.513088874,,,,,,,,,,,,,6.51296,18.5183,3.1247,16.1686,5.0227,1.7091,6.22772,1.16523,7.23323,1.67682,4.72971,0.808953,4.60299,0.72145,0.271752,3.485,,,,,176.478,,48.5834,,POINT (57.07 -31.9),14.7548065,14.75480652,,10 - 20 Ma,,-0.786163617,10
9542,SHK0464-003,,"COOGAN, 2004",-31.98,57.1,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513104,0.513085195,,,,,,,,,,,,,5.61401,15.146,2.69809,13.2364,4.26606,1.50473,4.90219,0.930893,6.1915,1.30643,3.86841,0.622462,3.64868,0.556312,0.240534,3.8805,,,,,141.206,,38.5685,,POINT (57.1 -31.98),14.7548065,14.75480652,,10 - 20 Ma,,-0.857878039,10
9546,SHK0467-011,,"COOGAN, 2004",-32.636,57.185,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.5131,0.513091654,,,,,,,,,,,,,4.23588,11.809,2.29762,11.9798,3.95585,1.451,4.6339,0.912338,5.8286,1.27902,3.76997,0.619622,3.69846,0.551607,0.135733,2.1709,,,,,112.151,,36.8158,,POINT (57.185 -32.636),6.39122,6.391220093,,5 - 10 Ma,,-0.968623409,10
9554,SOGA2476-12-010A,,"DADD, 2015",-28.5539,112.837,5,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512704,0.512700276,,,,,,,,,,0.704642,0.704628,,52,98,12,44.6,8.4,2.6,7.1,1,4.5,0.8,1.8,,1.3,0.2,7,89,,1.5,59,868,238,4.7,23.6,838,POINT (112.837 -28.5539),,5,< 5 Ma,,,-8.635052268,0
9555,SOGA2476-26-027A21,,"DADD, 2015",-28.703,112.501,5,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512775,0.512772144,,,,,,,,,,0.704194,0.704181,,,,,90,13,,,,,,,,,,,,,,54,898,,,,,POINT (112.501 -28.703),,5,< 5 Ma,,,-7.234512165,0
9556,SOGA2476-26-027A22,,"DADD, 2015",-28.703,112.501,5,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512758,0.512755238,,,,,,,,,,0.705358,0.705345,,,,,108.1,15.1,,,,,,,,,,,,,,36.4,571,,,,,POINT (112.501 -28.703),,5,< 5 Ma,,,-7.563969832,0
9558,SOGA2476-44-038C,,"DADD, 2015",-25.228,111.416,5,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512814,0.512810467,,,,,,,,,,0.705001,0.70498,,77,147,17,61,10.9,3.3,9.2,1.2,5.7,1,2.2,,1.5,0.2,11.4,109,,1.5,56,560,292,7.2,25.2,971,POINT (111.416 -25.228),,5,< 5 Ma,,,-6.487684891,0
9560,SOGA2476-55-004A,,"DADD, 2015",-24.3659,107.813,120,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512424,0.512318527,,,,,,,,,,0.707166,0.70641,,6,13,2,9,2,0.9,2.8,0.5,2.8,0.6,1.6,,1.4,0.2,2.4,5,,0.7,19,124,98,2.5,14.8,95,POINT (107.813 -24.3659),,120,100 - 120 Ma,,,-12.82354028,120
9561,SOGA2476-55-004B,,"DADD, 2015",-24.3659,107.813,120,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512424,0.512291825,,,,,,,,,,0.707485,0.706584,,6,14,2,7.9,2.2,0.9,2.7,0.4,2.7,0.5,1.5,,1.3,0.2,2.3,4,,0.6,21,115,96,2.3,15.9,90,POINT (107.813 -24.3659),,120,100 - 120 Ma,,,-13.34407295,120
