Specimen Code,Specimen Name,Reference,Section,Age,Lat,Long,87Sr/86Sr,87Sr/86Sr_i,87Rb/86Sr,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,206Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb,207Pb/204Pb_i,208Pb/204Pb,208Pb/204Pb_i,176Hf/177Hf,176Hf/177Hf_i,176Lu/177Hf,232Th/238U,Nd,Sm,Lu,235U/204Pb,238U/204Pb,232Th/204Pb,Pb,Th,U,Hf,Rb,Sr
AG51-6-5,AG51-6-5,Hoernle et al. 2015,Gough,8,-40.1667,-8.55011,0.7055451,0.704984792,5.946330221,0.512591478,0.512586267,0.099602959,18.43232976,18.4221436,15.60101012,15.60053953,38.91917884,38.87173079,0.2827826,0.282782175,0.002752564,14.61124885,77.01780113,12.74477347,0.426566079,0.059493288,8.202934605,119.8551188,13.87261207,25.17708277,1.780548549,22.21778898,151.4571217,73.67848335
AG51-7-1,AG51-7-1,Hoernle et al. 2015,Gough,8,-40.1667,-8.55011,0.704999171,0.705002131,0.1032439,0.512565242,0.512558999,0.119323911,18.30141375,18.28519335,15.58627781,15.58552845,38.82994952,38.80235713,,,,5.335893909,51.44266162,10.19810961,0.280113843,0.094736891,13.06232246,69.69916688,4.359265419,4.615409621,0.893796839,7.58764516,31.09032991,871.0306944
AG51-7-2,AG51-7-2,Hoernle et al. 2015,Gough,8,-40.1667,-8.55011,0.704982333,0.704966036,0.143455233,0.512550608,0.51254434,0.11979247,18.30858803,18.29160563,15.58921797,15.58843341,38.83993622,38.8126486,0.2827632,0.2827624,0.00518046,5.04018137,50.56653955,10.06378889,0.275211486,0.099187362,13.67595342,68.92928563,4.40385021,4.60985556,0.945098128,7.616406465,42.21166221,851.1130455
CH19 DR3-2,CH19 DR3-2,Hoernle et al. 2015,Walvis Ridge,114,-19.371741,9.3334,0.705918667,0.705150923,0.473883631,0.512463718,0.512356353,0.143952405,17.91612845,17.68009895,15.52787173,15.51647146,38.32540025,38.09251007,0.2827236,0.28270343,0.009157253,3.112442332,38.12157632,9.117138234,0.476672762,0.09594727,13.22920956,41.17515187,4.620302398,2.927484006,0.971916527,7.462890388,52.80491367,322.3395599
CH19 DR4-1,CH19 DR4-1,Hoernle et al. 2015,Walvis Ridge,113,-19.846836,9.01667,0.7057093,0.705583612,0.089704208,0.512341888,0.51223732,0.141443202,17.54575442,16.83376869,15.47959848,15.44522399,38.151002,37.76946391,0.2826679,0.282643061,0.011377058,1.690285267,40.58134067,9.536241379,0.567989298,0.292010058,40.26234681,68.05485164,2.873826556,3.034258621,1.854933472,7.157512162,12.26159354,395.4002695
CH19 DR4-2,CH19 DR4-2,Hoernle et al. 2015,Walvis Ridge,112,-19.846836,9.01667,0.705607333,0.705368661,0.149951155,0.51238662,0.512289349,0.132748346,17.59321627,17.41325586,15.49328018,15.48459541,38.12757116,37.99884356,0.2826832,0.282662852,0.009403276,2.256134914,31.54776969,6.95771357,0.381293906,0.074472802,10.26830988,23.16669243,6.210958228,2.231161743,1.021884326,5.813431752,21.0664128,406.3858004
WALDA-002-CH19-DR4-03,WALDA-002-CH19-DR4-03,Hoernle et al. 2015,Walvis Ridge,113,-19.846836,9.01667,0.705574333,0.705355857,0.136047153,0.51239703,0.512298748,0.132939937,17.59420697,17.37018446,15.49296526,15.48214951,38.13278243,37.96483406,0.2826752,0.282654628,0.00942253,2.364708035,31.52796864,6.963382024,0.369883922,0.09187941,12.66833303,29.95690891,4.767501217,2.2144238,0.967651475,5.627944912,20.60712143,438.1514169
SO233 DR84-2,SO233 DR84-2,Hoernle et al. 2015,Walvis Ridge,114,-20.34708333,7.640277778,0.706235074,0.705558507,0.417605384,0.512308073,0.512203363,0.140393718,17.4078519,17.34995582,15.45744407,15.45464768,38.09391817,38.01259283,,,,4.430912241,21.96727904,5.123806343,0.255433477,0.023535069,3.245015272,14.37837789,8.96401216,2.005625821,0.467727078,3.940108688,45.85314731,317.634367
SO233 DR66-1,SO233 DR66-1,Hoernle et al. 2015,Walvis Ridge,107,-22.72166667,7.57875,0.704928037,0.704774507,0.100969867,0.512612073,0.512512703,0.141951681,18.29679578,18.02595961,15.56083881,15.54779609,38.83694299,38.418719,,,,4.869198929,22.95387495,5.413340124,0.333744008,0.117362817,16.18198527,78.79330534,1.697017514,2.031797421,0.431180028,3.700620027,14.14001774,405.0671748
SO233 DR71-1,SO233 DR71-1,Hoernle et al. 2015,Walvis Ridge,101,-22.67361111,5.126805556,0.704192241,0.704004907,0.13052545,0.512472285,0.512384215,0.133286556,18.77005864,18.46744132,15.63251802,15.61798175,38.99667906,38.77604477,,,,2.298244921,26.13264769,5.786800697,0.402594848,0.138989735,19.16390465,44.04334653,3.905790325,2.589253147,1.164163432,3.069985813,21.2833007,471.6082491
