Specimen Code,Specimen Name,Reference,Section,Age,Lat,Long,87Sr/86Sr,87Sr/86Sr_i,87Rb/86Sr,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,206Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb,207Pb/204Pb_i,208Pb/204Pb,208Pb/204Pb_i,176Hf/177Hf,176Hf/177Hf_i,176Lu/177Hf,232Th/238U,Nd,Sm,Lu,235U/204Pb,238U/204Pb,232Th/204Pb,Pb,Th,U,Hf,Rb,Sr
DSDP Leg 74 527 41 5W 95-105,DSDP Leg 74 527 41 5W 95-105,Hoernle et al. 2015,Walvis Ridge,67,-28.0415083,1.763486,0.7036075,0.703603192,0.04847521,0.51291543,0.512829337,0.196434514,18.50955515,18.28690352,15.55059386,15.54005093,38.52616473,38.3446842,,,,2.564714287,,,,0.154564286,21.31132378,54.65745657,,,,,,
DSDP Leg 74 527 43 4W 59-73,DSDP Leg 74 527 43 4W 59-73,Hoernle et al. 2015,Walvis Ridge,67,-28.0415083,1.763486,0.704546667,0.704333768,0.223667381,0.512611038,0.512552068,0.134549144,18.61881432,18.20572277,15.53470695,15.51514637,39.32968131,38.71324315,0.2828672,0.282843323,0.018453355,4.695458798,30.94888833,6.918226188,0.606565655,0.28676728,39.53947255,185.6559642,1.304752128,3.641827351,0.801451173,4.712532898,21.53121416,278.4316122
DSDP Leg 74 527 44 4W 59-72,DSDP Leg 74 527 44 4W 59-72,Hoernle et al. 2015,Walvis Ridge,67,-28.0415083,1.763486,0.704427333,0.704272979,0.162161581,0.51261744,0.512557992,0.135641589,18.52237741,18.1006876,15.52805007,15.50808235,39.13528416,38.51246212,0.2828663,0.282842521,0.018377335,4.647353503,28.30490755,6.378570715,0.563905517,0.292736169,40.36246297,187.5786337,1.15727938,3.276746627,0.728572714,4.39922049,16.97562219,302.7787106
DSDP Leg 74 528 42 1W 29-45,DSDP Leg 74 528 42 1W 29-45,Hoernle et al. 2015,Walvis Ridge,58,-28.53,2.3240648,0.7047438,0.704487598,0.36054709,0.512563038,0.512517472,0.120103506,18.04576304,17.94799439,15.50458042,15.49996837,38.82731732,38.57985671,0.2828177,0.282802474,0.013594596,7.960389899,41.28686621,8.238276635,0.563158966,0.078457308,10.81769364,86.11305919,4.865192123,6.393466369,0.829922989,5.939045047,38.38807909,307.9620314
DSDP Leg 74 528 42 1W 29-45,DSDP Leg 74 528 42 1W 29-45,Hoernle et al. 2015,Walvis Ridge,58,-28.53,2.3240648,0.704751333,0.704454265,0.360545914,0.512563498,0.512517932,0.120103506,18.03301157,17.87036964,15.50330997,15.49563764,38.81749147,38.58106388,,,,4.571866829,,,,0.130516748,17.99564917,82.2737115,,,,,,
DSDP Leg 74 528 42 5W 31-46,DSDP Leg 74 528 42 5W 31-46,Hoernle et al. 2015,Walvis Ridge,58,-28.53,2.3240648,0.703996333,0.703913164,0.100941699,0.512771048,0.512710189,0.160412736,18.26981895,18.18988585,15.51654668,15.51277599,38.7331999,38.62358651,0.28302705,0.282994972,0.028640082,4.312854957,10.6873369,2.848243477,0.371793614,0.064144642,8.844263287,38.14402476,1.834361738,1.065736559,0.255341121,1.861142302,7.272986431,208.3873982
DSDP Leg 74 528 43 2W 80-98,DSDP Leg 74 528 43 2W 80-98,Hoernle et al. 2015,Walvis Ridge,67,-28.53,2.3240648,0.704092333,0.704039173,0.055849304,0.51268087,0.512617476,0.144643808,18.25531428,18.08078398,15.5161212,15.50785689,38.71477325,38.4893692,0.28292005,0.282891276,0.022237559,4.063738171,16.21812496,3.897348594,0.391296923,0.121158566,16.70534303,67.88614014,1.654279111,1.711296423,0.435146279,2.522732657,5.297866095,274.3573378
DSDP Leg 74 528 45 2W 109-119,DSDP Leg 74 528 45 2W 109-119,Hoernle et al. 2015,Walvis Ridge,67,-28.53,2.3240648,0.704285333,0.704164415,0.127035087,0.51264821,0.512585842,0.14230293,18.09173498,17.95351741,15.50014396,15.49359912,38.7408267,38.50509524,0.28291575,0.282891426,0.0187983,5.366475327,19.21821724,4.543554107,0.416818303,0.09595034,13.22963286,70.99649834,2.149326603,2.330109592,0.448665794,3.178923829,11.90789739,271.1146349
DSDP Leg 74 528 47 3W 66-80,DSDP Leg 74 528 47 3W 66-80,Hoernle et al. 2015,Walvis Ridge,67,-28.53,2.3240648,0.704456333,0.704277448,0.187933985,0.51263423,0.512576248,0.132296315,18.20887569,17.99267542,15.5113204,15.50108296,38.81742695,38.49907817,0.2828962,0.282871811,0.018848844,4.633207946,30.64404706,6.735388235,0.598110353,0.150085771,20.69382609,95.87879948,2.456961753,3.587142857,0.800023289,4.549341176,20.85968788,321.0342137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
