Age_rounded,Delta_DM,yerr,Points_per_age,Weights,Locs_per_age
-900.0,-1.1418195226007288,0.21571711555244877,5,0.12613521695257315,1
-890.0,-2.4482429524283478,0.30871607866673595,4,0.10090817356205853,1
-870.0,-5.4491071661981,0.22310428656608486,9,0.22704339051463168,1
-860.0,-1.7243297962155069,0.0,1,0.025227043390514632,1
-820.0,-2.975369501196923,0.0,1,0.025227043390514632,1
-800.0,-3.2586343723459144,0.7755951968990981,4,0.10090817356205853,1
-770.0,-0.3961457768806668,0.1939617898796212,6,0.15136226034308778,1
-760.0,-1.3859091786802067,0.2514100096285743,17,0.42885973763874874,1
-750.0,-0.5589405602490288,0.13212934508949586,46,1.160443995963673,1
-740.0,-4.204766245313296,0.3586546647581283,15,0.3784056508577195,1
-640.0,-3.9085373178920295,0.9924296342641706,9,0.22704339051463168,1
-630.0,0.8100535225577917,0.17486880212488812,7,0.17658930373360243,1
-600.0,-5.447793449130854,0.31966946185681877,7,0.17658930373360243,1
-570.0,-2.729435780818418,0.3923172287620039,19,0.479313824419778,1
-550.0,-1.5866168485172139,0.15332563218634226,24,0.6054490413723511,1
-510.0,-2.620359952903174,0.460244567103749,23,0.5802219979818365,1
-500.0,-2.0810114718219492,0.23227709183128156,52,1.3118062563067607,1
-490.0,-2.7704489678157285,0.7090421132777247,9,0.22704339051463168,1
-480.0,-2.479732148433574,0.19000958483213215,60,1.513622603430878,1
-470.0,-2.271673339713707,0.5654732522327002,7,0.17658930373360243,1
-450.0,-2.1932132634550072,0.09789583894444348,5,0.12613521695257315,1
-410.0,-0.5116042950843724,0.10639365756745378,8,0.20181634712411706,1
-400.0,-0.29944814649293516,0.13149462123684807,57,1.437941473259334,1
-380.0,-2.551440953772651,2.0407745972966045,3,0.07568113017154389,1
-370.0,-2.669154152020662,0.3713421372722303,15,0.3784056508577195,1
-360.0,-2.8845037804848936,0.6782357369541959,9,0.22704339051463168,1
-350.0,0.17925959604925268,0.5179487477813305,16,0.4036326942482341,1
-340.0,-2.74189855655539,0.6990215198897404,18,0.45408678102926336,1
-330.0,-1.5952564389551946,0.3454520020768739,15,0.3784056508577195,1
-320.0,-2.9231556279816853,0.43432767686890006,7,0.17658930373360243,1
-300.0,-0.5037738984547957,0.476247909510142,9,0.22704339051463168,1
-280.0,-2.5655540265195897,1.5485880139770591,2,0.050454086781029264,1
-270.0,-4.9369472467492015,1.2267445865422504,8,0.20181634712411706,1
-230.0,-6.21667192758002,0.3426112227403995,5,0.12613521695257315,1
-200.0,-1.3324990975113749,0.5116653308320533,4,0.10090817356205853,2
-180.0,-1.6909708197194726,0.1281645041056128,15,0.3784056508577195,1
-170.0,-3.1773213711192807,0.3415968908706069,28,0.7063572149344097,1
-160.0,-1.4235339687666628,0.21873712855444535,70,1.7658930373360242,1
-150.0,-1.3364450102431529,0.21516189727500754,27,0.681130171543895,3
-140.0,-2.8533167341293884,0.20877537485689032,44,1.1099899091826437,2
-130.0,-0.48289094427667045,0.49156066503502754,15,0.3784056508577195,1
-120.0,-3.9989749344605494,0.38539260472774867,31,0.7820383451059536,2
-110.0,-1.4127975852806784,0.07593843344934811,6,0.15136226034308778,1
-100.0,-2.3273057218514692,0.951706734067188,4,0.10090817356205853,1
-90.0,-1.9275352354181097,0.24578551467388873,8,0.20181634712411706,2
-80.0,-4.809488747353069,0.9252769029584096,8,0.20181634712411706,2
-70.0,-3.187487349192164,1.5413368303719845,5,0.12613521695257315,3
-60.0,-1.8499622224364058,0.6073700114576295,11,0.27749747729566093,3
-50.0,-1.9507209226465871,0.0,1,0.025227043390514632,1
-0.0,-1.6279952202278933,0.06469265934661782,1203,30.348133198789103,3
