Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
Montanini et al. 2008,External Ligurides,,AM92A,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.57,8.85,,0.1756,0.513139,19,0.51295,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanini et al. 2008,External Ligurides,,IC21/9,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,4.35,14.18,,0.1854,0.513054,9,0.512854,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanini et al. 2008,External Ligurides,,IC21/8,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.92,9.66,,0.1832,0.513018,7,0.51282,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolland et al. 2009,Sevan,,AR-03-25,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.18522,0.51276,11,,6.47,,,0.1326,0.1326,11,0.70412,,,,8.8411,11.1328,0.0818,18.2577,15.5033,37.9444,17.968,15.488,37.8713,,,,,,,,
Rolland et al. 2009,Sevan,,AR-03-24,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.29064,0.51264,,,4.25,,,0.0058,0.0058,1,0.70399,,,,8.4704,10.2463,0.0753,17.9321,15.5344,37.8028,17.6658,15.521,37.7328,,,,,,,,
Rolland et al. 2009,Sevan,,AR-03-10,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.21337,0.51268,44,,4.98,,,0.008,0.008,53,0.70386,,,,,,,,,,,,,,,,,,,,
Rolland et al. 2009,Sevan,,AR-03-02,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.16855,0.51275,39,,6.27,,,0.064,0.064,48,0.70444,,,,,,,,,,,,,,,,,,,,
Rolland et al. 2009,Sevan,,G154,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.20223,0.51275,38,,6.28,,,0.5785,0.5785,12,0.7037,,,,22.1422,13.7665,0.1011,18.8172,15.559,38.4167,18.4594,15.5411,38.2336,,,,,,,,
Rolland et al. 2009,Stepanavan,,AR-04-30,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.21883,0.51291,3,,9.53,,,0.3765,0.3765,39,0.70519,,,,,,,,,,,,,,,,,,,,
Rolland et al. 2009,Vedi,,AR-05-113,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.22032,0.51275,42,,6.35,,,0.0754,0.0754,13,0.70557,,,,63.7004,10.274,0.0755,17.8966,15.5524,37.7996,17.6296,15.5391,37.2729,,,,,,,,
Rolland et al. 2009,Vedi,,AR-05-114,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.22032,0.51273,7,,5.88,,,0.0754,0.0754,1,0.70491,,,,63.5101,5.7363,0.0421,18.0686,15.4661,37.9304,17.9195,15.4587,37.4053,,,,,,,,
Rolland et al. 2009,Vedi,,AR-05-106,,,,WR,SSZ,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.21848,0.51277,6,,6.74,,,0.1087,0.1087,1,0.70565,,,,64.1466,10.6564,0.0783,18.4101,15.497,38.1116,18.1073,15.4897,37.5546,,,,,,,,
"Zhang et al., 2005",Mirdita,,AL-1 ,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.81,10.62,,0.2170,0.513047,,,7.50,5.82,168.70,0.10,0.70387,,0.70363,0.5491 ,0.0454 ,0.0170 ,5.35 ,1.94 ,,18.145 ,15.474 ,37.795 ,18.10,15.47,37.75,,,,,,,,
"Zhang et al., 2005",Mirdita,,AL-2 ,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.42,14.40,,0.2277,0.513041,,,7.20,0.17,77.92,0.01,0.70309,,0.70307,0.3164 ,0.0920 ,0.0255 ,19.0 ,5.11 ,,15.520 ,15.501 ,38.287 ,18.39,15.49,38.13,,,,,,,,
"Zhang et al., 2005",Mirdita,,AL-4 ,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.45,9.11,,0.2288,0.513044,,,7.20,0.31,69.87,0.01,0.70444,,0.70441,0.1091 ,0.1225 ,0.0565 ,73.9 ,33.0 ,,18.620 ,15.531 ,38.558 ,17.76,15.49,37.95,,,,,,,,
"Zhang et al., 2005",Mirdita,,IA-509 ,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.34,4.94,,0.2860,0.513100,,,7.10,2.30,148.30,0.04,0.70451,,0.70440,0.1036 ,0.0587 ,0.0214 ,37.4 ,13.2 ,,18.856 ,15.491 ,38.632 ,18.51,15.47,38.32,,,,,,,,
"Zhang et al., 2005",Mirdita,,RU-124 ,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.76,6.00,,0.2784,0.513107,,,7.40,0.14,50.03,0.01,0.70365,,0.70363,0.4869 ,0.0770 ,0.0209 ,10.2 ,2.68 ,,18.103 ,15.470 ,37.755 ,18.03,15.47,37.67,,,,,,,,
"Zhang et al., 2005",Mirdita,,RU-143 ,,,Basalt,WR,MOR,165,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.13,9.11,,0.2075,0.513052,,,7.80,4.42,63.30,0.20,0.70397,,0.70349,0.0845 ,0.1822 ,0.0404 ,143 ,30.7 ,,18.910 ,15.529 ,38.953 ,18.11,15.49,37.78,,,,,,,,
Wang et al. 2016,Dongco,,11-DC-1,,,Gabbro,,MOR,167,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.34,0.78,,0.2627,0.513095,4,,7.5,3.9,92,0.1219,0.704093,5,0.7038,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Dongco,,11-DC-3,,,Gabbro,,MOR,167,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.21,0.39,,0.3341,0.513125,14,,6.6,0.3,67.2,0.0114,0.70342,4,0.7034,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Dongco,,11-DC-6,,,Gabbro,,MOR,167,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.93,2.38,,0.2371,0.513067,4,,7.5,2.1,75.5,0.0812,0.703488,4,0.7033,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Dongco,,11-DC-16,,,Gabbro,,MOR,167,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.89,2.49,,0.218,0.513074,6,,8.1,3.3,91.5,0.1051,0.703638,4,0.7034,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Laguoco,,GZ-10-1,,,Basalt,,MOR,167,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.12,6.57,,0.195,0.513036,11,,7.81,1.57,120,0.0377,0.705089,10,0.705,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Ritu,,1354-8,,,Gabbro,,MOR,167,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,3.11,9.37,,0.2012,0.513042,10,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Rutog,,11RT-23,,,Basalt,,MOR,169,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.35,7.29,,0.1964,0.512912,5,,5.4,17,106,0.4614,0.70571,4,0.7046,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Rutog,,11RT-24,,,Basalt,,MOR,169,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.4,3.61,,0.2365,0.513083,4,,7.8,9.89,112,0.2546,0.705358,3,0.7047,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Rutog,,11RT-28,,,Basalt,,MOR,169,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.06,5.94,,0.2113,0.512956,3,,5.9,4.69,75.1,0.1805,0.705534,4,0.7051,,,,,,,,,,,,,,,,,,,,
Wang et al. 2016,Rutog,,11RT-32,,,Basalt,,MOR,169,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.23,6.56,,0.2074,0.512961,7,,6.1,3.06,219,0.0405,0.706386,3,0.7063,,,,,,,,,,,,,,,,,,,,
Tribuzio et al. 2004,Cecina Valley,,MF1,,,Gabbro,WR,MOR,170,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,0.774,2.1,,0.222902,0.513104,4,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Xu et al. 2017,Myiktyina,,13MD345,,,Gabbro,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.16,0.68,,0.1393,0.512875,28,0.512718,5.9,0.17,446,0.0011,0.704795,10,0.704792,,,,,,,,,,,,,,0.05,1.17,0.0061,0.283081,0.000005,0.283061,13.6
Xu et al. 2017,Myiktyina,,13MD346,,,Gabbro,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.82,2.34,,0.2139,0.513024,37,0.512783,7.2,0.92,382,0.007,0.704013,14,0.703996,,,,,,,,,,,,,,0.15,0.44,0.0483,0.283212,0.00001,0.283055,13.4
Xu et al. 2017,Myiktyina,,13MD347,,,Gabbro,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.74,4.87,,0.2175,0.512839,44,0.512594,3.5,3.29,223,0.0426,0.706713,20,0.706609,,,,,,,,,,,,,,0.3,1.33,0.032,0.283172,0.000008,0.283069,13.9
Xu et al. 2017,Myiktyina,,13MD348,,,Gabbro,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.05,0.16,,0.2043,0.512772,82,0.512542,2.4,1.11,184,0.0174,0.70398,14,0.703938,,,,,,,,,,,,,,0.02,0.03,0.0945,0.283482,0.000076,0.283176,17.7
Xu et al. 2017,Myiktyina,,13MD358,,,Gabbro,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.04,0.16,,0.1581,0.512746,53,0.512568,3,0.78,193,0.0118,0.70405,13,0.704021,,,,,,,,,,,,,,0.01,0.02,0.0708,0.283609,0.000135,0.283379,24.9
Xu et al. 2017,Myiktyina,,13MD349,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.25,1.14,,0.1331,0.512692,65,0.512542,2.4,1.12,576,0.0056,0.706467,9,0.706453,,,,,,,,,,,,,,0.06,0.68,0.0125,0.283104,0.000007,0.283064,13.7
Xu et al. 2017,Myiktyina,,13MD349-R,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.25,1.12,,0.1331,0.512762,37,0.512612,3.8,1.08,585,0.0054,0.706436,9,0.706423,,,,,,,,,,,,,,0.06,0.61,0.0139,0.283105,0.000008,0.283059,13.6
Xu et al. 2017,Myiktyina,,13MD350,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.49,3.03,,0.0982,0.512901,13,0.51279,7.3,1.53,414,0.0107,0.705882,10,0.705856,,,,,,,,,,,,,,0.1,4.92,0.0029,0.283066,0.000007,0.283057,13.5
Xu et al. 2017,Myiktyina,,13MD351,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.79,3.84,,0.1249,0.512949,17,0.512809,7.7,11.65,1351,0.025,0.704294,12,0.704233,,,,,,,,,,,,,,0.15,2.9,0.0073,0.283076,0.000006,0.283052,13.3
Xu et al. 2017,Myiktyina,,13MD352,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.28,4.91,,0.1586,0.512929,14,0.512751,6.5,2.42,252,0.0277,0.70406,15,0.703992,,,,,,,,,,,,,,0.39,4.91,0.0113,0.283105,0.000006,0.283068,13.9
Xu et al. 2017,Myiktyina,,13MD353,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.23,1.52,,0.0906,0.512778,23,0.512676,5.1,2.91,169,0.0499,0.70516,13,0.705038,,,,,,,,,,,,,,0.1,3.03,0.0047,0.283074,0.000004,0.283059,13.5
Xu et al. 2017,Myiktyina,,13MD354,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.42,2.29,,0.111,0.512873,17,0.512749,6.5,0.6,111,0.0156,0.703836,18,0.703798,,,,,,,,,,,,,,0.21,6.68,0.0045,0.283081,0.000006,0.283066,13.8
Xu et al. 2017,Myiktyina,,13MD355,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.59,3.07,,0.1164,0.512905,11,0.512775,7,5.45,139,0.1138,0.704288,14,0.704009,,,,,,,,,,,,,,0.24,5.77,0.0059,0.283088,0.000007,0.283069,13.9
Xu et al. 2017,Myiktyina,,13MD356,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.22,1.14,,0.115,0.512851,26,0.512722,6,0.16,163,0.0028,0.704465,16,0.704458,,,,,,,,,,,,,,0.11,3.13,0.005,0.283078,0.000006,0.283061,13.6
Xu et al. 2017,Myiktyina,,13MD357,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.49,3.02,,0.0978,0.512832,48,0.512722,6,0.51,349,0.0042,0.706002,13,0.705992,,,,,,,,,,,,,,0.02,0.24,0.0118,0.283108,0.000017,0.28307,13.9
Xu et al. 2017,Myiktyina,,13MD360,,,Plagiogranite,WR,SSZ,172,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.02,7.3,,0.0851,0.512888,14,0.512793,7.3,3.84,530,0.021,0.703959,14,0.703908,,,,,,,,,,,,,,0.06,0.66,0.0129,0.283092,0.000008,0.28305,13.2
Tribuzio et al. 2004,Cecina Valley,,CB17,,,Gabbro,WR,MOR,173,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,1.1212,2.9284,,0.231552,0.513133,5,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Gaize,,GZ-31,,,Diabase,WR,OIB,176,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.05,6.37,,0.1949,0.513041,10,,7.9,18.3,220,0.2416,0.708191,16,0.707618,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Gaize,,GZ-32-1,,,Basalt,WR,OIB,176,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.98,10.4,,0.1524,,,,,0.84,102,0.0238,0.704253,14,0.704197,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Gaize,,GZ-33-2,,,Basalt,WR,OIB,176,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.1,3.74,,0.1564,,,,,11.2,86.9,0.3728,0.705838,11,0.704953,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,A2,,,Basalt,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.216,0.513014,3,0.512764,6.9,,,0.007,0.708943,5,0.708924,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,A1,,,Basalt,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.198,0.51304,3,0.512811,7.8,,,0.104,0.704243,5,0.703982,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,J3,,,Basalt,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.201,0.513099,5,0.512866,8.3,,,0.035,0.704863,5,0.704775,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,B8,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.208,0.513087,20,0.512846,8.5,,,0.23,0.705166,4,0.704599,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,B3,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.217,0.513028,11,0.512777,7.2,,,0.04,0.705121,4,0.70502,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,E2,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.209,0.513042,3,0.5128,7.6,,,0.22,0.704918,5,0.704366,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,D14,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.206,0.513044,4,0.512806,7.7,,,0.044,0.703795,4,0.703684,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,C10,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.217,0.51304,5,0.512788,7.4,,,0.022,0.703746,5,0.70369,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,B15,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.213,0.513054,5,0.512808,7.8,,,0.06,0.703792,5,0.703641,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,B5,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.223,0.513085,4,0.512826,8.1,,,0.005,0.705795,5,0.705784,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,B12,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.224,0.513039,5,0.512779,7.2,,,0.038,0.703703,5,0.703608,,,,,,,,,,,,,,,,,,,,
Jonnalagadda et al. 2022,Spontang,,I6,,,Gabbro,WR,MOR,177,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,,0.51304,9,0.512801,7.1,,,0.034,0.70409,5,0.704004,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2005",Luobusa,,LB98-1 G ,,,Gabbro,WR,MOR,177.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.860 ,10.94 ,,0.2134 ,0.513071 ,,,8.00,13.1 ,294.0 ,0.1287 ,0.70621 ,,0.70589 ,0.5073 ,0.0441 ,0.0444 ,5.64 ,5.42 ,,17.97,15.478 ,37.731 ,17.82,15.47,37.68,,,,,,,,
"Zhang et al., 2005",Luobusa,,LB98-1 G -L,,,Gabbro,WR,MOR,177.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.707 ,13.46 ,,0.2114 ,0.513079 ,,,8.20,17.0 ,340.3 ,0.1328 ,0.70610 ,,0.70577 ,0.6137 ,0.0510 ,0.0841 ,8.81 ,5.17 ,,17.90,15.442 ,37.598 ,17.76,15.44,37.52,,,,,,,,
"Zhang et al., 2005",Luobusa,,LB98-3 G ,,,Gabbro,WR,MOR,177.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.047 ,5.732 ,,0.2159 ,0.513086 ,,,8.30,0.897 ,118.8 ,0.0218 ,0.70300 ,,0.70295 ,0.3781 ,0.0131 ,0.0397 ,6.71 ,2.14 ,,17.72,15.440 ,37.538 ,17.66,15.44,37.48,,,,,,,,
"Yan and Zhang, 2020",Namco,,NMCW9-10,,,basalt,WR,OPB,181,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.78,5.56,,0.1942,0.513114,3.2,0.512961,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yan and Zhang, 2020",Namco,,NMCW-9-14,,,basalt,WR,OPB,181,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.67,8.82,,0.1828,0.513106,2.41,0.512962,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yan and Zhang, 2020",Namco,,NMCW-9-19,,,basalt,WR,OPB,181,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.58,8.84,,0.1767,0.513106,2.38,0.512967,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yan and Zhang, 2020",Namco,,NMCW-9-15,,,basalt,WR,OPB,181,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.78,8.94,,0.1878,0.513095,2.56,0.512947,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yan and Zhang, 2020",Namco,,NMCW-9-25,,,basalt,WR,OPB,181,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.78,8.4,,0.1999,0.513095,2.44,0.512938,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Dongco,,DC-3,,,Basalt,WR,OIB,187,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,12,61.4,,0.1178,0.512767,9,,4.39,31.3,367,0.2463,0.704885,11,0.70423,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Dongco,,DC-5,,,Basalt,WR,OIB,187,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.73,32.3,,0.126,0.512816,10,,5.16,36.8,964,0.1104,0.704399,15,0.704105,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Dongco,,DC-5,,,Basalt,WR,OIB,187,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.73,32.3,,0.126,0.512785,7,,4.55,36.8,964,0.1104,0.704609,16,0.704315,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Dongco,,DC-6,,,Basalt,WR,OIB,187,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,8.67,41.9,,0.1251,0.512855,11,,5.95,11.4,202,0.1625,0.704641,13,0.704209,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Dongco,,DC-7,,,Basalt,WR,OIB,187,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,13.6,73.7,,0.1115,0.512776,7,,4.73,75.4,588,0.3714,0.705434,13,0.704446,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2005",Dangqiong,,DQ98-9 G ,,,Gabbro,WR,MOR,200.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.143 ,8.239 ,,0.2306 ,0.513114 ,,,8.40,0.182 ,191.2 ,0.0028 ,0.70321 ,,0.70320 ,0.2413 ,0.0173 ,0.0304 ,8.05 ,4.42 ,,17.63,15.420 ,37.458 ,17.49,15.41,37.38,,,,,,,,
"Zhang et al., 2005",Dangqiong,,DQ98-12 G ,,,Gabbro,WR,MOR,200.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.017 ,8.123 ,,0.2245 ,0.513114 ,,,8.50,0.294 ,137.0 ,0.0062 ,0.70307 ,,0.70305 ,0.1074 ,0.0062 ,0.0093 ,5.57 ,3.55 ,,17.71,15.434 ,37.500 ,17.60,15.43,37.45,,,,,,,,
"Zhang et al., 2005",Dangqiong,,DQ98-14 D ,,,Diabase,WR,MOR,200.00,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,6.068 ,16.91 ,,0.2169 ,0.513111 ,,,8.70,0.400 ,204.6 ,0.0056 ,0.70295 ,,0.70293 ,0.4296 ,0.0717 ,0.1296 ,19.3 ,10.4 ,,17.76,15.414 ,37.526 ,17.43,15.40,37.33,,,,,,,,
Liu et al. 2016,Chayong,,CY15–1,,,Basalt,WR,SSZ,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1996,0.512821,7,,3.5,,,0.0285,0.705316,7,0.705223,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Chayong,,CY17–1,,,Basalt,WR,SSZ,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1907,0.512811,10,,3.5,,,0.0937,0.705372,11,0.705066,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Chayong,,CH07–1,,,Basalt,WR,SSZ,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1995,0.512816,9,,3.4,,,0.0163,0.705003,9,0.70495,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Chayong,,CH08–1,,,Basalt,WR,SSZ,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.2035,0.512807,8,,3.1,,,0.0347,0.705155,10,0.705042,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Chayong,,CH11–1,,,Basalt,WR,SSZ,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1953,0.512724,7,,1.7,,,0.0378,0.706343,8,0.706219,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Xiewu,,XW02–1,,,Basalt,WR,OIB,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1745,0.512651,10,,0.9,,,0.0266,0.709931,11,0.709844,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Xiewu,,XW03–2,,,Basalt,WR,OIB,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1655,0.512639,9,,0.9,,,0.016,0.71067,8,0.710617,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Xiewu,,XW06–1,,,Basalt,WR,OIB,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1391,0.512579,5,,0.6,,,0.1063,0.709486,8,0.709138,,,,,,,,,,,,,,,,,,,,
Liu et al. 2016,Xiewu,,XW06–2,,,Basalt,WR,OIB,230,Paleo-Tethys,Paleo-Tethys,Songpan-Garze,Post-Pangea Formation,,,,0.1464,0.51258,5,,0.3,,,0.1608,0.711514,6,0.710988,,,,,,,,,,,,,,,,,,,,
