Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
Kakar et al. 2014,Muslim Bagh,,C40,,,Sheeted Dyke,WR,SSZ,80,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.6,14.57,,0.149461,0.512844,12,0.512765,4.5,2.5,287,0.082508,0.704608,38,0.704336,,,,,,,,,,,,,,,,,,,,
Kakar et al. 2014,Muslim Bagh,,C34,,,Gabbro,WR,SSZ,80,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.26,12.75,,0.154665,0.512889,1,0.512808,5.32,7.6,355,0.021408,0.703927,13,0.703856,,,,,,,,,,,,,,,,,,,,
Kakar et al. 2014,Muslim Bagh,,C191,,,Gabbro,WR,SSZ,80,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,0.16,0.35,,0.276526,0.512848,22,0.512703,3.27,0.5,286,0.00175,0.704313,12,0.704307,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2005",Neyriz,,N95-28 ,,,Basalt,WR,MOR,93.00,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.250 ,6.102 ,,0.2229 ,0.513060 ,,,7.90,0.987 ,192.2 ,0.1485 ,0.70496 ,,0.70476 ,0.4040 ,0.0471 ,0.0965 ,15.4 ,7.30 ,,18.047 ,15.473 ,37.903 ,17.94,15.47,37.83,,,,,,,,
"Zhang et al., 2005",Neyriz,,N95-33 ,,,Basalt,WR,MOR,93.00,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.844 ,8.136 ,,0.2113 ,0.513051 ,,,7.80,7.71 ,277.9 ,0.0803 ,0.70379 ,,0.70368 ,0.1560 ,0.0508 ,0.1308 ,54.5 ,20.5 ,,18.275 ,15.464 ,38.030 ,17.98,15.45,37.78,,,,,,,,
"Zhang et al., 2005",Neyriz,,N96-61 ,,,Basalt,WR,MOR,93.00,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.899 ,8.346 ,,0.2100 ,0.513056 ,,,7.90,1.07 ,138.5 ,0.0224 ,0.70406 ,,0.70403 ,0.4373 ,0.0747 ,0.1813 ,26.9 ,10.7 ,,18.168 ,15.473 ,37.955 ,18.01,15.47,37.83,,,,,,,,
"Zhang et al., 2005",Neyriz,,N96-62 ,,,Basalt,WR,MOR,93.00,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.515 ,6.980 ,,0.2178 ,0.513056 ,,,7.80,0.435 ,134.2 ,0.0094 ,0.70432 ,,0.70431 ,0.3697 ,0.0639 ,0.1414 ,24.8 ,10.8 ,,18.152 ,15.477 ,37.954 ,18.00,15.47,37.84,,,,,,,,
"Zhang et al., 2005",Neyriz,,N96-64 ,,,Basalt,WR,MOR,93.00,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.703 ,7.890 ,,0.2071 ,0.513046 ,,,7.80,0.529 ,178.9 ,0.0086 ,0.70445 ,,0.70444 ,0.2389 ,0.0659 ,0.1488 ,40.4 ,17.3 ,,18.227 ,15.474 ,38.011 ,17.98,15.46,37.82,,,,,,,,
"Zhang et al., 2005",Neyriz,,N14b G ,,,Gabbro,WR,MOR,93.00,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.665 ,10.62 ,,0.2086 ,0.513067 ,,,8.20,2.32 ,530.4 ,0.0126 ,0.70671 ,,0.70669 ,0.3267 ,0.0879 ,0.2321 ,46.0 ,16.9 ,,18.149 ,15.444 ,37.999 ,17.90,15.43,37.79,,,,,,,,
Kakar et al. 2014,Bagh Complex,,C123,,,Basalt,WR,OIB,100,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.77,4.97,,0.215427,0.51295,11,0.512752,5.75,3.9,282,0.01384,0.706821,14,0.706741,,,,,,,,,,,,,,,,,,,,
